LinkID,sourceid,destinationid,bandwidth
zhangjiako_man2-zhangjiako_edge1,38,60,10000000000
chengde_man1-chengde_edge2,40,63,10000000000
chengde_man2-chengde_edge1,41,62,10000000000
cangzhou_man1-cangzhou_edge2,42,65,10000000000
cangzhou_man2-cangzhou_edge1,43,64,10000000000
langfang_man1-langfang_edge2,44,67,10000000000
langfang_man2-langfang_edge1,45,66,10000000000
hengshui_man1-hengshui_edge2,46,69,10000000000
hengshui_man2-hengshui_edge1,47,68,10000000000
cangzhou_man1-tianjin_core1,42,11,10000000000
cangzhou_man2-tianjin_core1,43,11,10000000000
qhd_man1-tianjin_core1,28,11,10000000000
qhd_man2-tianjin_core1,29,11,10000000000
cangzhou_man1-tianjin_core2,42,12,10000000000
cangzhou_man2-tianjin_core2,43,12,10000000000
qhd_man1-tianjin_core2,28,12,10000000000
qhd_man2-tianjin_core2,29,12,10000000000
zhangjiako_man1-beijing_core1,37,1,10000000000
zhangjiako_man2-beijing_core1,38,1,10000000000
chengde_man1-beijing_core1,40,1,10000000000
chengde_man2-beijing_core1,41,1,10000000000
langfang_man1-beijing_core1,44,1,10000000000
langfang_man2-beijing_core1,45,1,10000000000
zhangjiako_man1-beijing_core2,37,2,10000000000
zhangjiako_man2-beijing_core2,38,2,10000000000
chengde_man1-beijing_core2,40,2,10000000000
chengde_man2-beijing_core2,41,2,10000000000
langfang_man1-beijing_core2,44,2,10000000000
langfang_man2-beijing_core2,45,2,10000000000
