link_id,bandwidth_avg_usage,bandwidth_max_usage
cangzhou-man1-tianjin-core2,7.10%,17.77%
cangzhou-man2-tianjin-core2,16.84%,49.49%
qhd-man1-tianjin-core2,18.00%,60.43%
qhd-man2-tianjin-core2,5.11%,56.05%
zhangjiako-man1-beijing-core1,3.27%,10.12%
zhangjiako-man2-beijing-core1,0.15%,0.82%
chengde-man1-beijing-core1,0.97%,12.30%
chengde-man2-beijing-core1,3.17%,16.95%
langfang-man1-beijing-core1,9.78%,32.54%
langfang-man2-beijing-core1,4.42%,33.09%
zhangjiako-man1-beijing-core2,7.59%,33.09%
zhangjiako-man2-beijing-core2,0.14%,5.47%
chengde-man1-beijing-core2,0.24%,5.74%
chengde-man2-beijing-core2,2.60%,12.30%
langfang-man1-beijing-core2,8.20%,39.92%
langfang-man2-beijing-core2,6.28%,20.78%
