id,linkid,sourceid,destinationid,leftid,rightip,linkifspeed,iplantency,cost,kphscost,bandwidth
24,91.158.1.90-629-91.158.1.95-248,91.158.1.90,91.158.1.95,99.158.101.154,99.158.101.153,10000000000,0.6,1,1,10000000000
25,91.158.1.90-731-91.158.1.96-316,91.158.1.90,91.158.1.96,99.158.111.26,99.158.111.25,10000000000,0.6,1,1,10000000000
26,92.158.1.87-245-92.158.1.89-670,92.158.1.87,92.158.1.89,99.158.116.38,99.158.116.37,10000000000,1,1,1,10000000000
27,92.158.1.87-243-92.158.1.90-358,92.158.1.87,92.158.1.90,99.158.6.174,99.158.6.173,10000000000,1,1,1,10000000000
28,92.158.1.87-749-92.158.1.91-456,92.158.1.87,92.158.1.91,99.158.6.178,99.158.6.177,10000000000,0.1,1,1,10000000000
29,92.158.1.87-574-92.158.1.92-700,92.158.1.87,92.158.1.92,99.158.7.70,99.158.7.69,10000000000,1.1,1,1,10000000000
30,92.158.1.87-103-93.158.1.87-653,92.158.1.87,93.158.1.87,99.158.6.58,99.158.6.57,10000000000,7.3932,1,1,10000000000
31,92.158.1.87-590-94.158.1.87-175,92.158.1.87,94.158.1.87,99.158.13.10,99.158.13.9,10000000000,2,1,1,10000000000
32,92.158.1.88-625-92.158.1.89-183,92.158.1.88,92.158.1.89,99.158.118.174,99.158.118.173,10000000000,1,1,1,10000000000
33,92.158.1.88-154-92.158.1.90-240,92.158.1.88,92.158.1.90,99.158.103.78,99.158.103.77,10000000000,1,1,1,10000000000
34,92.158.1.88-221-92.158.1.91-262,92.158.1.88,92.158.1.91,99.158.116.94,99.158.116.93,10000000000,1.1,1,1,10000000000
35,92.158.1.88-726-92.158.1.92-320,92.158.1.88,92.158.1.92,99.158.19.202,99.158.19.201,10000000000,0.1,1,1,10000000000
36,92.158.1.88-242-93.158.1.87-389,92.158.1.88,93.158.1.87,99.158.23.54,99.158.23.53,10000000000,8.76125,1,1,10000000000
37,92.158.1.88-593-94.158.1.87-246,92.158.1.88,94.158.1.87,99.158.103.58,99.158.103.57,10000000000,2.46928,1,1,10000000000
38,92.158.1.89-274-92.158.1.93-141,92.158.1.89,92.158.1.93,99.158.107.186,99.158.107.185,10000000000,0.1,1,1,10000000000
39,92.158.1.89-640-92.158.1.94-584,92.158.1.89,92.158.1.94,99.158.23.182,99.158.23.181,10000000000,0.6,1,1,10000000000
40,92.158.1.89-316-92.158.1.95-197,92.158.1.89,92.158.1.95,99.158.19.146,99.158.19.145,10000000000,0.6,1,1,10000000000
41,92.158.1.89-482-92.158.1.96-545,92.158.1.89,92.158.1.96,99.158.19.166,99.158.19.165,10000000000,0.6,1,1,10000000000
42,92.158.1.90-419-92.158.1.93-482,92.158.1.90,92.158.1.93,99.158.115.142,99.158.115.141,10000000000,0.6,1,1,10000000000
43,92.158.1.90-728-92.158.1.94-745,92.158.1.90,92.158.1.94,99.158.112.66,99.158.112.65,10000000000,0.1,1,1,10000000000
44,92.158.1.90-126-92.158.1.95-152,92.158.1.90,92.158.1.95,99.158.20.58,99.158.20.57,10000000000,0.6,1,1,10000000000
45,92.158.1.90-205-92.158.1.96-619,92.158.1.90,92.158.1.96,99.158.101.170,99.158.101.169,10000000000,0.6,1,1,10000000000
46,93.158.1.87-647-93.158.1.88-355,93.158.1.87,93.158.1.88,99.158.111.22,99.158.111.21,10000000000,1,1,1,10000000000
47,93.158.1.87-643-93.158.1.89-677,93.158.1.87,93.158.1.89,99.158.7.14,99.158.7.13,10000000000,1,1,1,10000000000
48,93.158.1.87-271-93.158.1.90-382,93.158.1.87,93.158.1.90,99.158.105.62,99.158.105.61,10000000000,0.1,1,1,10000000000
49,93.158.1.87-696-94.158.1.88-639,93.158.1.87,94.158.1.88,99.158.107.58,99.158.107.57,10000000000,10.325007,1,1,10000000000
50,93.158.1.87-369-94.158.1.89-255,93.158.1.87,94.158.1.89,99.158.114.82,99.158.114.81,10000000000,10.325007,1,1,10000000000
51,93.158.1.87-712-95.158.1.87-759,93.158.1.87,95.158.1.87,99.158.111.6,99.158.111.5,10000000000,13.91313,1,1,10000000000
52,93.158.1.87-256-95.158.1.88-594,93.158.1.87,95.158.1.88,99.158.104.142,99.158.104.141,10000000000,13.91313,1,1,10000000000
53,93.158.1.87-763-96.158.1.87-311,93.158.1.87,96.158.1.87,99.158.101.250,99.158.101.249,10000000000,4.100712,1,1,10000000000
54,93.158.1.87-669-96.158.1.88-359,93.158.1.87,96.158.1.88,99.158.118.66,99.158.118.65,10000000000,4.100712,1,1,10000000000
55,93.158.1.87-784-97.158.1.87-237,93.158.1.87,97.158.1.87,99.158.113.10,99.158.113.9,10000000000,3.002307,1,1,10000000000
56,93.158.1.87-337-97.158.1.88-356,93.158.1.87,97.158.1.88,99.158.9.130,99.158.9.129,10000000000,3.002307,1,1,10000000000
57,93.158.1.87-316-98.158.1.87-458,93.158.1.87,98.158.1.87,99.158.109.134,99.158.109.133,10000000000,3.514896,1,1,10000000000
58,93.158.1.87-763-98.158.1.88-396,93.158.1.87,98.158.1.88,99.158.113.14,99.158.113.13,10000000000,3.514896,1,1,10000000000
59,93.158.1.87-502-99.158.1.87-660,93.158.1.87,99.158.1.87,99.158.117.246,99.158.117.245,10000000000,9.202193,1,1,10000000000
60,93.158.1.87-690-99.158.1.88-165,93.158.1.87,99.158.1.88,99.158.113.22,99.158.113.21,10000000000,9.202193,1,1,10000000000
61,93.158.1.87-331-100.158.1.87-505,93.158.1.87,100.158.1.87,99.158.19.170,99.158.19.169,10000000000,12.887952,1,1,10000000000
62,93.158.1.87-211-100.158.1.88-409,93.158.1.87,100.158.1.88,99.158.118.190,99.158.118.189,10000000000,12.887952,1,1,10000000000
63,93.158.1.87-117-101.158.1.87-677,93.158.1.87,101.158.1.87,99.158.22.118,99.158.22.117,10000000000,5.565252,1,1,10000000000
64,93.158.1.87-388-101.158.1.88-343,93.158.1.87,101.158.1.88,99.158.24.194,99.158.24.193,10000000000,5.565252,1,1,10000000000
65,93.158.1.87-259-102.158.1.87-737,93.158.1.87,102.158.1.87,99.158.104.146,99.158.104.145,10000000000,7.127428,1,1,10000000000
66,93.158.1.87-771-102.158.1.88-472,93.158.1.87,102.158.1.88,99.158.113.2,99.158.113.1,10000000000,7.127428,1,1,10000000000
67,93.158.1.87-291-103.158.1.87-759,93.158.1.87,103.158.1.87,99.158.110.182,99.158.110.181,10000000000,2.977898,1,1,10000000000
68,93.158.1.87-591-103.158.1.88-512,93.158.1.87,103.158.1.88,99.158.118.6,99.158.118.5,10000000000,2.977898,1,1,10000000000
69,93.158.1.88-176-93.158.1.89-418,93.158.1.88,93.158.1.89,99.158.98.213,99.158.98.214,10000000000,1,1,1,10000000000
70,94.158.1.87-416-94.158.1.88-195,94.158.1.87,94.158.1.88,99.158.117.234,99.158.117.233,10000000000,1,1,1,10000000000
71,94.158.1.87-750-94.158.1.89-601,94.158.1.87,94.158.1.89,99.158.96.13,99.158.96.14,10000000000,1,1,1,10000000000
72,94.158.1.87-771-95.158.1.87-591,94.158.1.87,95.158.1.87,99.158.7.6,99.158.7.5,10000000000,3.5014,1,1,10000000000
73,94.158.1.87-755-95.158.1.88-174,94.158.1.87,95.158.1.88,99.158.107.62,99.158.107.61,10000000000,4.06504,1,1,10000000000
74,94.158.1.87-755-96.158.1.87-282,94.158.1.87,96.158.1.87,99.158.118.178,99.158.118.177,10000000000,14.21788,1,1,10000000000
75,94.158.1.87-543-96.158.1.88-533,94.158.1.87,96.158.1.88,99.158.111.18,99.158.111.17,10000000000,13.72012,1,1,10000000000
76,94.158.1.87-702-97.158.1.87-430,94.158.1.87,97.158.1.87,99.158.22.154,99.158.22.153,10000000000,12.96128,1,1,10000000000
77,94.158.1.87-301-97.158.1.88-782,94.158.1.87,97.158.1.88,99.158.96.2,99.158.96.1,10000000000,10.82628,1,1,10000000000
78,94.158.1.87-397-98.158.1.87-103,94.158.1.87,98.158.1.87,99.158.114.94,99.158.114.93,10000000000,8.33504,1,1,10000000000
79,94.158.1.87-741-98.158.1.88-114,94.158.1.87,98.158.1.88,99.158.20.62,99.158.20.61,10000000000,5.98776,1,1,10000000000
80,94.158.1.87-719-99.158.1.87-570,94.158.1.87,99.158.1.87,99.158.101.166,99.158.101.165,10000000000,9.22076,1,1,10000000000
81,94.158.1.87-204-99.158.1.88-135,94.158.1.87,99.158.1.88,99.158.110.146,99.158.110.145,10000000000,10.40416,1,1,10000000000
82,94.158.1.87-370-100.158.1.87-726,94.158.1.87,100.158.1.87,99.158.114.50,99.158.114.49,10000000000,4.7214,1,1,10000000000
83,94.158.1.87-592-100.158.1.88-563,94.158.1.87,100.158.1.88,99.158.118.58,99.158.118.57,10000000000,5.1118,1,1,10000000000
84,94.158.1.87-440-101.158.1.87-730,94.158.1.87,101.158.1.87,99.158.118.194,99.158.118.193,10000000000,5.61444,1,1,10000000000
85,94.158.1.87-207-101.158.1.88-461,94.158.1.87,101.158.1.88,99.158.15.210,99.158.15.209,10000000000,7.46396,1,1,10000000000
86,94.158.1.87-311-102.158.1.87-339,94.158.1.87,102.158.1.87,99.158.113.18,99.158.113.17,10000000000,4.04552,1,1,10000000000
87,94.158.1.87-640-102.158.1.88-383,94.158.1.87,102.158.1.88,99.158.110.126,99.158.110.125,10000000000,3.2086,1,1,10000000000
88,94.158.1.87-778-103.158.1.87-467,94.158.1.87,103.158.1.87,99.158.14.202,99.158.14.201,10000000000,10.1626,1,1,10000000000
89,94.158.1.87-127-103.158.1.88-522,94.158.1.87,103.158.1.88,99.158.111.98,99.158.111.97,10000000000,8.51804,1,1,10000000000
90,94.158.1.88-357-94.158.1.89-376,94.158.1.88,94.158.1.89,99.158.114.70,99.158.114.69,10000000000,1,1,1,10000000000
91,95.158.1.87-593-95.158.1.88-707,95.158.1.87,95.158.1.88,99.158.14.226,99.158.14.225,10000000000,1,1,1,10000000000
92,96.158.1.87-317-96.158.1.88-575,96.158.1.87,96.158.1.88,99.158.111.174,99.158.111.173,10000000000,1,1,1,10000000000
93,97.158.1.87-503-97.158.1.88-348,97.158.1.87,97.158.1.88,99.158.118.230,99.158.118.229,10000000000,1,1,1,10000000000
94,98.158.1.87-460-98.158.1.88-767,98.158.1.87,98.158.1.88,99.158.96.9,99.158.96.10,10000000000,1,1,1,10000000000
95,98.158.1.87-137-98.158.1.89-771,98.158.1.87,98.158.1.89,99.158.117.254,99.158.117.253,10000000000,1.1,1,1,10000000000
96,98.158.1.88-478-98.158.1.89-573,98.158.1.88,98.158.1.89,99.158.23.22,99.158.23.21,10000000000,1.1,1,1,10000000000
97,99.158.1.87-750-99.158.1.88-347,99.158.1.87,99.158.1.88,99.158.101.194,99.158.101.193,10000000000,1,1,1,10000000000
98,99.158.1.87-729-99.158.1.89-488,99.158.1.87,99.158.1.89,99.158.15.86,99.158.15.85,10000000000,1.1,1,1,10000000000
99,99.158.1.88-692-99.158.1.89-735,99.158.1.88,99.158.1.89,99.158.113.6,99.158.113.5,10000000000,1.1,1,1,10000000000
100,100.158.1.87-791-100.158.1.88-121,100.158.1.87,100.158.1.88,99.158.14.230,99.158.14.229,10000000000,1,1,1,10000000000
101,101.158.1.87-128-101.158.1.88-706,101.158.1.87,101.158.1.88,99.158.111.2,99.158.111.1,10000000000,1,1,1,10000000000
102,102.158.1.87-314-102.158.1.88-207,102.158.1.87,102.158.1.88,99.158.96.5,99.158.96.6,10000000000,1,1,1,10000000000
103,103.158.1.87-511-103.158.1.88-448,103.158.1.87,103.158.1.88,99.158.7.1,99.158.7.2,10000000000,1,1,1,10000000000
104,94.158.1.87-730-93.158.1.88-138,94.158.1.87,93.158.1.88,99.158.96.49,99.158.23.2,10000000000,9.92592,1,1,10000000000
105,94.158.1.87-662-93.158.1.89-179,94.158.1.87,93.158.1.89,99.158.7.199,99.158.101.5,10000000000,9.48184,1,1,10000000000
106,93.158.1.88-122-104.158.1.70-586,93.158.1.88,104.158.1.70,99.158.114.23,99.158.114.43,10000000000,0.1,1,1,10000000000
107,93.158.1.89-346-104.158.1.71-111,93.158.1.89,104.158.1.71,99.158.118.52,99.158.118.52,10000000000,0.1,1,1,10000000000
108,94.158.1.88-206-104.158.1.72-557,94.158.1.88,104.158.1.72,99.158.118.122,99.158.118.191,10000000000,0.1,1,1,10000000000
109,94.158.1.89-262-104.158.1.73-158,94.158.1.89,104.158.1.73,99.158.15.211,99.158.15.200,10000000000,0.1,1,1,10000000000
110,95.158.1.87-337-104.158.1.74-651,95.158.1.87,104.158.1.74,99.158.113.183,99.158.113.122,10000000000,0.1,1,1,10000000000
111,95.158.1.88-405-104.158.1.75-550,95.158.1.88,104.158.1.75,99.158.110.122,99.158.110.122,10000000000,0.1,1,1,10000000000
112,96.158.1.87-265-104.158.1.76-149,96.158.1.87,104.158.1.76,99.158.14.201,99.158.14.203,10000000000,0.1,1,1,10000000000
113,96.158.1.88-212-104.158.1.77-363,96.158.1.88,104.158.1.77,99.158.111.92,99.158.111.99,10000000000,0.1,1,1,10000000000
114,97.158.1.87-104-104.158.1.78-566,97.158.1.87,104.158.1.78,99.158.114.71,99.158.114.611,10000000000,0.1,1,1,10000000000
115,97.158.1.88-386-104.158.1.79-367,97.158.1.88,104.158.1.79,99.158.14.220,99.158.14.222,10000000000,0.1,1,1,10000000000
116,98.158.1.87-284-104.158.1.80-705,98.158.1.87,104.158.1.80,99.158.111.172,99.158.111.178,10000000000,0.1,1,1,10000000000
117,98.158.1.88-125-104.158.1.81-413,98.158.1.88,104.158.1.81,99.158.118.232,99.158.118.220,10000000000,0.1,1,1,10000000000
118,99.158.1.87-626-104.158.1.82-189,99.158.1.87,104.158.1.82,99.158.114.53,99.158.114.498,10000000000,0.1,1,1,10000000000
119,99.158.1.88-307-104.158.1.83-428,99.158.1.88,104.158.1.83,99.158.118.51,99.158.118.51,10000000000,0.1,1,1,10000000000
120,100.158.1.87-325-104.158.1.84-691,100.158.1.87,104.158.1.84,99.158.118.199,99.158.118.199,10000000000,0.1,1,1,10000000000
121,100.158.1.88-748-104.158.1.85-505,100.158.1.88,104.158.1.85,99.158.15.213,99.158.15.202,10000000000,0.1,1,1,10000000000
122,101.158.1.87-201-104.158.1.86-275,101.158.1.87,104.158.1.86,99.158.113.111,99.158.113.171,10000000000,0.1,1,1,10000000000
123,101.158.1.88-254-104.158.1.87-476,101.158.1.88,104.158.1.87,99.158.110.120,99.158.110.128,10000000000,0.1,1,1,10000000000
124,102.158.1.87-630-104.158.1.88-405,102.158.1.87,104.158.1.88,99.158.14.209,99.158.14.204,10000000000,0.1,1,1,10000000000
125,102.158.1.88-227-104.158.1.89-180,102.158.1.88,104.158.1.89,99.158.111.91,99.158.111.98,10000000000,0.1,1,1,10000000000
126,103.158.1.87-760-104.158.1.90-168,103.158.1.87,104.158.1.90,99.158.114.78,99.158.114.614,10000000000,0.1,1,1,10000000000
127,103.158.1.88-451-104.158.1.91-624,103.158.1.88,104.158.1.91,99.158.14.221,99.158.14.228,10000000000,0.1,1,1,10000000000
128,93.158.1.88-629-104.158.1.71-227,93.158.1.88,104.158.1.71,99.158.114.20,99.158.114.42,10000000000,1.1,1,1,10000000000
129,93.158.1.89-495-104.158.1.70-162,93.158.1.89,104.158.1.70,99.158.118.50,99.158.118.53,10000000000,1.1,1,1,10000000000
130,94.158.1.88-355-104.158.1.73-579,94.158.1.88,104.158.1.73,99.158.118.120,99.158.118.190,10000000000,1.1,1,1,10000000000
131,94.158.1.89-783-104.158.1.72-228,94.158.1.89,104.158.1.72,99.158.15.212,99.158.15.203,10000000000,1.1,1,1,10000000000
132,95.158.1.87-727-104.158.1.75-672,95.158.1.87,104.158.1.75,99.158.113.182,99.158.113.121,10000000000,1.1,1,1,10000000000
133,95.158.1.88-425-104.158.1.74-104,95.158.1.88,104.158.1.74,99.158.110.127,99.158.110.121,10000000000,1.1,1,1,10000000000
134,96.158.1.87-572-104.158.1.77-533,96.158.1.87,104.158.1.77,99.158.14.200,99.158.14.202,10000000000,1.1,1,1,10000000000
135,96.158.1.88-340-104.158.1.76-583,96.158.1.88,104.158.1.76,99.158.111.93,99.158.111.92,10000000000,1.1,1,1,10000000000
136,97.158.1.87-581-104.158.1.79-593,97.158.1.87,104.158.1.79,99.158.114.72,99.158.114.610,10000000000,1.1,1,1,10000000000
137,97.158.1.88-298-104.158.1.78-717,97.158.1.88,104.158.1.78,99.158.14.223,99.158.14.221,10000000000,1.1,1,1,10000000000
138,98.158.1.87-417-104.158.1.81-202,98.158.1.87,104.158.1.81,99.158.111.173,99.158.111.172,10000000000,1.1,1,1,10000000000
139,98.158.1.88-400-104.158.1.80-501,98.158.1.88,104.158.1.80,99.158.118.233,99.158.118.221,10000000000,1.1,1,1,10000000000
140,99.158.1.87-345-104.158.1.83-216,99.158.1.87,104.158.1.83,99.158.114.52,99.158.114.497,10000000000,1.1,1,1,10000000000
141,99.158.1.88-482-104.158.1.82-635,99.158.1.88,104.158.1.82,99.158.118.53,99.158.118.59,10000000000,1.1,1,1,10000000000
142,100.158.1.87-623-104.158.1.85-729,100.158.1.87,104.158.1.85,99.158.118.192,99.158.118.196,10000000000,1.1,1,1,10000000000
143,100.158.1.88-718-104.158.1.84-117,100.158.1.88,104.158.1.84,99.158.15.214,99.158.15.208,10000000000,1.1,1,1,10000000000
144,101.158.1.87-441-104.158.1.87-276,101.158.1.87,104.158.1.87,99.158.113.110,99.158.113.170,10000000000,1.1,1,1,10000000000
145,101.158.1.88-169-104.158.1.86-774,101.158.1.88,104.158.1.86,99.158.110.121,99.158.110.126,10000000000,1.1,1,1,10000000000
146,102.158.1.87-612-104.158.1.89-530,102.158.1.87,104.158.1.89,99.158.14.206,99.158.14.206,10000000000,1.1,1,1,10000000000
147,102.158.1.88-416-104.158.1.88-159,102.158.1.88,104.158.1.88,99.158.111.94,99.158.111.96,10000000000,1.1,1,1,10000000000
148,103.158.1.87-311-104.158.1.91-233,103.158.1.87,104.158.1.91,99.158.114.77,99.158.114.616,10000000000,1.1,1,1,10000000000
149,103.158.1.88-338-104.158.1.90-290,103.158.1.88,104.158.1.90,99.158.14.222,99.158.14.223,10000000000,1.1,1,1,10000000000
150,101.158.1.87-565-92.158.1.87-540,101.158.1.87,92.158.1.87,99.158.113.9,99.158.105.62,10000000000,2.7816,1,1,10000000000
151,101.158.1.88-176-92.158.1.87-408,101.158.1.88,92.158.1.87,99.158.9.129,99.158.107.58,10000000000,2.7816,1,1,10000000000
152,95.158.1.87-250-92.158.1.87-593,95.158.1.87,92.158.1.87,99.158.109.133,99.158.114.82,10000000000,6.466,1,1,10000000000
153,95.158.1.88-630-92.158.1.87-509,95.158.1.88,92.158.1.87,99.158.113.13,99.158.111.6,10000000000,6.466,1,1,10000000000
154,101.158.1.87-519-92.158.1.88-246,101.158.1.87,92.158.1.88,99.158.117.245,99.158.104.142,10000000000,2.7816,1,1,10000000000
155,101.158.1.88-628-92.158.1.88-270,101.158.1.88,92.158.1.88,99.158.113.21,99.158.101.250,10000000000,2.7816,1,1,10000000000
156,95.158.1.87-746-92.158.1.88-203,95.158.1.87,92.158.1.88,99.158.19.169,99.158.118.66,10000000000,6.466,1,1,10000000000
157,95.158.1.88-398-92.158.1.88-184,95.158.1.88,92.158.1.88,99.158.118.189,99.158.113.10,10000000000,6.466,1,1,10000000000
158,99.158.1.87-171-91.158.1.87-260,99.158.1.87,91.158.1.87,99.158.96.14,99.158.24.194,10000000000,4.7336,1,1,10000000000
159,99.158.1.88-250-91.158.1.87-722,99.158.1.88,91.158.1.87,99.158.7.5,99.158.104.146,10000000000,4.7336,1,1,10000000000
160,100.158.1.87-266-91.158.1.87-298,100.158.1.87,91.158.1.87,99.158.107.61,99.158.113.2,10000000000,5.49,1,1,10000000000
161,100.158.1.88-313-91.158.1.87-300,100.158.1.88,91.158.1.87,99.158.118.177,99.158.110.182,10000000000,5.49,1,1,10000000000
162,102.158.1.87-579-91.158.1.87-744,102.158.1.87,91.158.1.87,99.158.111.17,99.158.118.6,10000000000,1.3664,1,1,10000000000
163,102.158.1.88-514-91.158.1.87-780,102.158.1.88,91.158.1.87,99.158.22.153,99.158.98.213,10000000000,1.3664,1,1,10000000000
164,99.158.1.87-438-91.158.1.88-740,99.158.1.87,91.158.1.88,99.158.96.1,99.158.117.234,10000000000,4.7336,1,1,10000000000
165,99.158.1.88-381-91.158.1.88-623,99.158.1.88,91.158.1.88,99.158.114.93,99.158.96.13,10000000000,4.7336,1,1,10000000000
166,100.158.1.87-128-91.158.1.88-398,100.158.1.87,91.158.1.88,99.158.20.61,99.158.111.93,10000000000,5.49,1,1,10000000000
167,100.158.1.88-475-91.158.1.88-548,100.158.1.88,91.158.1.88,99.158.101.165,99.158.114.72,10000000000,5.49,1,1,10000000000
168,102.158.1.87-566-91.158.1.88-127,102.158.1.87,91.158.1.88,99.158.110.145,99.158.14.223,10000000000,1.3664,1,1,10000000000
169,102.158.1.88-616-91.158.1.88-669,102.158.1.88,91.158.1.88,99.158.104.142,99.158.111.173,10000000000,1.3664,1,1,10000000000
