id,source_id,destination_id,bandwidth,lantency
tianjin_man1-tianjin_edge2,tianjin_man1,tianjin_edge2,"100,000",0.6
tianjin_man1-tianjin_edge3,tianjin_man1,tianjin_edge3,"100,000",0.6
tianjin_man1-tianjin_edge4,tianjin_man1,tianjin_edge4,"100,000",0.6
tianjin_man2-tianjin_edge1,tianjin_man2,tianjin_edge1,"100,000",0.6
tianjin_man2-tianjin_edge2,tianjin_man2,tianjin_edge2,"100,000",0.1
tianjin_man2-tianjin_edge3,tianjin_man2,tianjin_edge3,"100,000",0.6
tianjin_man2-tianjin_edge4,tianjin_man2,tianjin_edge4,"100,000",0.6
shijiangzhuang_core-shijiangzhuang_man1,shijiangzhuang_core,shijiangzhuang_man1,"100,000",1
shijiangzhuang_core-shijiangzhuang_man2,shijiangzhuang_core,shijiangzhuang_man2,"100,000",1
shijiangzhuang_core-shijiangzhuang_cloud,shijiangzhuang_core,shijiangzhuang_cloud,"100,000",0.1
shijiangzhuang_core-tangshan_man1,shijiangzhuang_core,tangshan_man1,"100,000",10.33
shijiangzhuang_core-tangshan_man2,shijiangzhuang_core,tangshan_man2,"100,000",10.33
shijiangzhuang_core-qhd_man1,shijiangzhuang_core,qhd_man1,"100,000",13.91
shijiangzhuang_core-qhd_man2,shijiangzhuang_core,qhd_man2,"100,000",13.91
shijiangzhuang_core-handan_man1,shijiangzhuang_core,handan_man1,"100,000",4.1
shijiangzhuang_core-handan_man2,shijiangzhuang_core,handan_man2,"100,000",4.1
shijiangzhuang_core-xingtai_man1,shijiangzhuang_core,xingtai_man1,"100,000",3
shijiangzhuang_core-xingtai_man2,shijiangzhuang_core,xingtai_man2,"100,000",3
shijiangzhuang_core-baoding_man1,shijiangzhuang_core,baoding_man1,"100,000",3.51
shijiangzhuang_core-baoding_man2,shijiangzhuang_core,baoding_man2,"100,000",3.51
shijiangzhuang_core-zhangjiako_man1,shijiangzhuang_core,zhangjiako_man1,"100,000",9.2
shijiangzhuang_core-zhangjiako_man2,shijiangzhuang_core,zhangjiako_man2,"100,000",9.2
shijiangzhuang_core-chengde_man1,shijiangzhuang_core,chengde_man1,"100,000",12.89
shijiangzhuang_core-chengde_man2,shijiangzhuang_core,chengde_man2,"100,000",12.89
shijiangzhuang_core-cangzhou_man1,shijiangzhuang_core,cangzhou_man1,"100,000",5.57
shijiangzhuang_core-cangzhou_man2,shijiangzhuang_core,cangzhou_man2,"100,000",5.57
shijiangzhuang_core-langfang_man1,shijiangzhuang_core,langfang_man1,"100,000",7.13
shijiangzhuang_core-langfang_man2,shijiangzhuang_core,langfang_man2,"100,000",7.13
shijiangzhuang_core-hengshui_man1,shijiangzhuang_core,hengshui_man1,"100,000",2.98
shijiangzhuang_core-hengshui_man2,shijiangzhuang_core,hengshui_man2,"100,000",2.98
shijiangzhuang_man1-shijiangzhuang_man2,shijiangzhuang_man1,shijiangzhuang_man2,"100,000",1
tangshan_core-tangshan_man1,tangshan_core,tangshan_man1,"100,000",1
tangshan_core-tangshan_man2,tangshan_core,tangshan_man2,"100,000",1
tangshan_core-qhd_man1,tangshan_core,qhd_man1,"100,000",3.5
tangshan_core-qhd_man2,tangshan_core,qhd_man2,"100,000",4.07
tangshan_core-handan_man1,tangshan_core,handan_man1,"100,000",14.22
tangshan_core-handan_man2,tangshan_core,handan_man2,"100,000",13.72
tangshan_core-xingtai_man1,tangshan_core,xingtai_man1,"100,000",12.96
tangshan_core-xingtai_man2,tangshan_core,xingtai_man2,"100,000",10.83
tangshan_core-baoding_man1,tangshan_core,baoding_man1,"100,000",8.34
tangshan_core-baoding_man2,tangshan_core,baoding_man2,"100,000",5.99
tangshan_core-zhangjiako_man1,tangshan_core,zhangjiako_man1,"100,000",9.22
tangshan_core-zhangjiako_man2,tangshan_core,zhangjiako_man2,"100,000",10.4
tangshan_core-chengde_man1,tangshan_core,chengde_man1,"100,000",4.72
tangshan_core-chengde_man2,tangshan_core,chengde_man2,"100,000",5.11
tangshan_core-cangzhou_man1,tangshan_core,cangzhou_man1,"100,000",5.61
tangshan_core-cangzhou_man2,tangshan_core,cangzhou_man2,"100,000",7.46
tangshan_core-langfang_man1,tangshan_core,langfang_man1,"100,000",4.05
tangshan_core-langfang_man2,tangshan_core,langfang_man2,"100,000",3.21
tangshan_core-hengshui_man1,tangshan_core,hengshui_man1,"100,000",10.16
tangshan_core-hengshui_man2,tangshan_core,hengshui_man2,"100,000",8.52
tangshan_man1-tangshan_man2,tangshan_man1,tangshan_man2,"100,000",1
qhd_man1-qhd_man2,qhd_man1,qhd_man2,"100,000",1
handan_man1-handan_man2,handan_man1,handan_man2,"100,000",1
xingtai_man1-xingtai_man2,xingtai_man1,xingtai_man2,"100,000",1
baoding_man1-baoding_man2,baoding_man1,baoding_man2,"100,000",1
baoding_man1-baoding_cloud,baoding_man1,baoding_cloud,"100,000",1.1
baoding_man2-baoding_cloud,baoding_man2,baoding_cloud,"100,000",1.1
zhangjiako_man1-zhangjiako_man2,zhangjiako_man1,zhangjiako_man2,"100,000",1
zhangjiako_man1-zhangjiako_cloud,zhangjiako_man1,zhangjiako_cloud,"100,000",1.1
zhangjiako_man2-zhangjiako_cloud,zhangjiako_man2,zhangjiako_cloud,"100,000",1.1
chengde_man1-chengde_man2,chengde_man1,chengde_man2,"100,000",1
cangzhou_man1-cangzhou_man2,cangzhou_man1,cangzhou_man2,"100,000",1
langfang_man1-langfang_man2,langfang_man1,langfang_man2,"100,000",1
hengshui_man1-hengshui_man2,hengshui_man1,hengshui_man2,"100,000",1
tangshan_core-shijiangzhuang_man1,tangshan_core,shijiangzhuang_man1,"100,000",9.93
tangshan_core-shijiangzhuang_man2,tangshan_core,shijiangzhuang_man2,"100,000",9.48
shijiangzhuang_man1-shijiangzhuang_edge1,shijiangzhuang_man1,shijiangzhuang_edge1,"100,000",0.1
shijiangzhuang_man2-shijiangzhuang_edge2,shijiangzhuang_man2,shijiangzhuang_edge2,"100,000",0.1
tangshan_man1-tangshan_edge1,tangshan_man1,tangshan_edge1,"100,000",0.1
tangshan_man2-tangshan_edge2,tangshan_man2,tangshan_edge2,"100,000",0.1
qhd_man1-qhd_edge1,qhd_man1,qhd_edge1,"100,000",0.1
qhd_man2-qhd_edge2,qhd_man2,qhd_edge2,"100,000",0.1
handan_man1-handan_edge1,handan_man1,handan_edge1,"100,000",0.1
handan_man2-handan_edge2,handan_man2,handan_edge2,"100,000",0.1
xingtai_man1-xingtai_edge1,xingtai_man1,xingtai_edge1,"100,000",0.1
xingtai_man2-xingtai_edge2,xingtai_man2,xingtai_edge2,"100,000",0.1
baoding_man1-baoding_edge1,baoding_man1,baoding_edge1,"100,000",0.1
baoding_man2-baoding_edge2,baoding_man2,baoding_edge2,"100,000",0.1
zhangjiako_man1-zhangjiako_edge1,zhangjiako_man1,zhangjiako_edge1,"100,000",0.1
zhangjiako_man2-zhangjiako_edge2,zhangjiako_man2,zhangjiako_edge2,"100,000",0.1
chengde_man1-chengde_edge1,chengde_man1,chengde_edge1,"100,000",0.1
chengde_man2-chengde_edge2,chengde_man2,chengde_edge2,"100,000",0.1
cangzhou_man1-cangzhou_edge1,cangzhou_man1,cangzhou_edge1,"100,000",0.1
cangzhou_man2-cangzhou_edge2,cangzhou_man2,cangzhou_edge2,"100,000",0.1
langfang_man1-langfang_edge1,langfang_man1,langfang_edge1,"100,000",0.1
langfang_man2-langfang_edge2,langfang_man2,langfang_edge2,"100,000",0.1
hengshui_man1-hengshui_edge1,hengshui_man1,hengshui_edge1,"100,000",0.1
hengshui_man2-hengshui_edge2,hengshui_man2,hengshui_edge2,"100,000",0.1
shijiangzhuang_man1-shijiangzhuang_edge2,shijiangzhuang_man1,shijiangzhuang_edge2,"100,000",1.1
shijiangzhuang_man2-shijiangzhuang_edge1,shijiangzhuang_man2,shijiangzhuang_edge1,"100,000",1.1
tangshan_man1-tangshan_edge2,tangshan_man1,tangshan_edge2,"100,000",1.1
tangshan_man2-tangshan_edge1,tangshan_man2,tangshan_edge1,"100,000",1.1
qhd_man1-qhd_edge2,qhd_man1,qhd_edge2,"100,000",1.1
qhd_man2-qhd_edge1,qhd_man2,qhd_edge1,"100,000",1.1
handan_man1-handan_edge2,handan_man1,handan_edge2,"100,000",1.1
handan_man2-handan_edge1,handan_man2,handan_edge1,"100,000",1.1
xingtai_man1-xingtai_edge2,xingtai_man1,xingtai_edge2,"100,000",1.1
xingtai_man2-xingtai_edge1,xingtai_man2,xingtai_edge1,"100,000",1.1
baoding_man1-baoding_edge2,baoding_man1,baoding_edge2,"100,000",1.1
baoding_man2-baoding_edge1,baoding_man2,baoding_edge1,"100,000",1.1
zhangjiako_man1-zhangjiako_edge2,zhangjiako_man1,zhangjiako_edge2,"100,000",1.1
zhangjiako_man2-zhangjiako_edge1,zhangjiako_man2,zhangjiako_edge1,"100,000",1.1
chengde_man1-chengde_edge2,chengde_man1,chengde_edge2,"100,000",1.1
chengde_man2-chengde_edge1,chengde_man2,chengde_edge1,"100,000",1.1
cangzhou_man1-cangzhou_edge2,cangzhou_man1,cangzhou_edge2,"100,000",1.1
cangzhou_man2-cangzhou_edge1,cangzhou_man2,cangzhou_edge1,"100,000",1.1
langfang_man1-langfang_edge2,langfang_man1,langfang_edge2,"100,000",1.1
langfang_man2-langfang_edge1,langfang_man2,langfang_edge1,"100,000",1.1
hengshui_man1-hengshui_edge2,hengshui_man1,hengshui_edge2,"100,000",1.1
hengshui_man2-hengshui_edge1,hengshui_man2,hengshui_edge1,"100,000",1.1
cangzhou_man1-tianjin_core1,cangzhou_man1,tianjin_core1,"100,000",2.78
cangzhou_man2-tianjin_core1,cangzhou_man2,tianjin_core1,"100,000",2.78
qhd_man1-tianjin_core1,qhd_man1,tianjin_core1,"100,000",6.47
qhd_man2-tianjin_core1,qhd_man2,tianjin_core1,"100,000",6.47
cangzhou_man1-tianjin_core2,cangzhou_man1,tianjin_core2,"100,000",2.78
cangzhou_man2-tianjin_core2,cangzhou_man2,tianjin_core2,"100,000",2.78
qhd_man1-tianjin_core2,qhd_man1,tianjin_core2,"100,000",6.47
qhd_man2-tianjin_core2,qhd_man2,tianjin_core2,"100,000",6.47
zhangjiako_man1-beijing_core1,zhangjiako_man1,beijing_core1,"100,000",4.73
zhangjiako_man2-beijing_core1,zhangjiako_man2,beijing_core1,"100,000",4.73
chengde_man1-beijing_core1,chengde_man1,beijing_core1,"100,000",5.49
chengde_man2-beijing_core1,chengde_man2,beijing_core1,"100,000",5.49
langfang_man1-beijing_core1,langfang_man1,beijing_core1,"100,000",1.37
langfang_man2-beijing_core1,langfang_man2,beijing_core1,"100,000",1.37
zhangjiako_man1-beijing_core2,zhangjiako_man1,beijing_core2,"100,000",4.73
zhangjiako_man2-beijing_core2,zhangjiako_man2,beijing_core2,"100,000",4.73
chengde_man1-beijing_core2,chengde_man1,beijing_core2,"100,000",5.49
chengde_man2-beijing_core2,chengde_man2,beijing_core2,"100,000",5.49
langfang_man1-beijing_core2,langfang_man1,beijing_core2,"100,000",1.37
langfang_man2-beijing_core2,langfang_man2,beijing_core2,"100,000",1.37
