设备ID,经度,纬度,所在城市,设备类型,接入方式,接入节点,接入时延
北京-0036,116.046588,39.771993,北京市,PC,Wifi,beijing_man2,4.95485224120454
北京-0037,116.212019,39.947989,北京市,手机,Cellular,beijing_man2,1.6028606580242444
北京-0038,116.582101,39.953136,北京市,PC,Wifi,beijing_man1,3.4460651193212053
北京-0039,116.437437,39.697553,北京市,laptop,Ethernet,beijing_man1,1.6795387272022286
北京-0040,116.662766,40.226356,北京市,laptop,Cellular,beijing_man1,6.919787584733616
北京-0041,116.408074,39.896846,北京市,laptop,Wifi,beijing_man2,2.662986094019724
北京-0042,116.399764,39.900321,北京市,手机,Ethernet,beijing_man2,1.6465318137263947
北京-0043,116.476549,39.923997,北京市,手机,Wifi,beijing_man1,3.0893496357484045
北京-0044,116.399344,39.899915,北京市,手机,Ethernet,beijing_man2,1.3775786868425617
北京-0045,116.371853,39.878964,北京市,laptop,Wifi,beijing_man2,1.9778015142788274
北京-0046,116.3758,39.927696,北京市,传感器,Wifi,beijing_man2,4.008026967507801
北京-0047,116.012771,39.93075,北京市,PC,Cellular,beijing_man2,1.0799414212646412
北京-0048,116.381229,39.851226,北京市,PC,Ethernet,beijing_man1,1.3701831161692088
北京-0049,116.40001,39.900001,北京市,PC,Wifi,beijing_man2,1.1589637081049897
北京-0050,116.365108,39.876422,北京市,传感器,Cellular,beijing_man2,5.865601857790958
北京-0051,116.501535,39.915904,北京市,传感器,Ethernet,beijing_man1,1.826433097496884
北京-0052,115.889621,39.951358,北京市,laptop,Wifi,beijing_man2,2.3393871383477416
北京-0053,116.939796,40.22909,北京市,laptop,Ethernet,langfang_man2,1.9987724078850775
北京-0054,116.378183,39.673945,北京市,传感器,Wifi,beijing_man1,4.2709731209285735
北京-0055,116.834881,39.915686,北京市,PC,Ethernet,langfang_man2,1.7926396397974504
北京-0056,116.468183,39.791839,北京市,PC,Cellular,beijing_man1,1.2847911292400447
北京-0057,116.344164,39.883702,北京市,手机,Ethernet,beijing_man2,1.7170257034453953
北京-0058,116.402075,39.904821,北京市,laptop,Wifi,beijing_man2,3.031801942502856
北京-0059,116.396965,39.899533,北京市,PC,Ethernet,beijing_man2,1.9358748699477104
北京-0060,116.407585,39.934372,北京市,laptop,Cellular,beijing_man2,7.361159120451486
北京-0061,116.233758,40.262484,北京市,传感器,Cellular,beijing_man1,7.891688764548553
北京-0062,116.408869,39.8957,北京市,手机,Ethernet,beijing_man2,1.4088302814448797
北京-0063,116.751678,40.237224,北京市,手机,Wifi,beijing_man1,2.6896198940688865
北京-0064,116.402678,39.900097,北京市,传感器,Cellular,beijing_man2,7.123725483073613
北京-0065,116.167186,39.638487,北京市,手机,Cellular,beijing_man1,4.127335363332674
北京-0066,116.400483,39.900025,北京市,手机,Wifi,beijing_man2,2.0223886104956925
北京-0067,116.400186,39.899922,北京市,传感器,Wifi,beijing_man2,4.625359118402072
北京-0068,116.576176,39.751069,北京市,传感器,Cellular,beijing_man1,5.316495246088692
北京-0069,116.387575,40.114815,北京市,PC,Wifi,beijing_man1,3.3083758320700176
北京-0070,116.853732,39.970112,北京市,手机,Cellular,langfang_man2,7.091694136554764
北京-0071,116.351842,39.605397,北京市,手机,Ethernet,beijing_man1,1.1550239243348042
北京-0072,116.458699,39.930891,北京市,laptop,Wifi,beijing_man1,1.1036331432968116
北京-0073,116.406827,39.912426,北京市,laptop,Wifi,beijing_man2,2.655372251071973
北京-0074,116.210626,39.537363,北京市,laptop,Cellular,beijing_man1,1.2630157286396528
北京-0075,116.366868,39.90903,北京市,传感器,Wifi,beijing_man2,4.689953123748392
北京-0076,116.325005,39.693257,北京市,laptop,Ethernet,beijing_man1,1.8945119299478255
北京-0077,116.396184,39.901515,北京市,传感器,Ethernet,beijing_man2,1.5224564623471344
北京-0078,116.394636,39.966552,北京市,手机,Wifi,beijing_man2,4.731608241702661
北京-0079,116.31341,39.917241,北京市,PC,Wifi,beijing_man2,3.3703914538039825
北京-0080,116.403599,39.892613,北京市,手机,Cellular,beijing_man2,2.7549574890278423
北京-0081,116.911575,39.945452,北京市,laptop,Ethernet,langfang_man2,1.9740453819039443
北京-0082,115.985645,40.204212,北京市,laptop,Wifi,beijing_man2,4.0639303963923705
北京-0083,116.4,39.900002,北京市,传感器,Ethernet,beijing_man2,1.2031969010803594
北京-0084,115.872714,40.164263,北京市,传感器,Wifi,beijing_man2,4.6168467739525925
北京-0085,116.843247,40.082367,北京市,laptop,Ethernet,beijing_man1,1.1667311845535715
北京-0086,116.399971,39.899899,北京市,手机,Ethernet,beijing_man2,1.4008755632049013
北京-0087,116.399943,39.900087,北京市,PC,Cellular,beijing_man2,3.5155692793293367
北京-0088,116.399831,39.899993,北京市,传感器,Wifi,beijing_man2,3.521902928828679
北京-0089,116.400298,39.898065,北京市,laptop,Wifi,beijing_man2,3.9987258374290384
北京-0090,115.990897,39.621066,北京市,传感器,Ethernet,beijing_man1,1.6064527602470877
北京-0091,116.392106,40.013268,北京市,laptop,Ethernet,beijing_man1,1.1099332986824573
北京-0092,116.320193,39.612683,北京市,laptop,Wifi,beijing_man1,2.501000812313811
北京-0093,116.400507,39.900015,北京市,PC,Cellular,beijing_man2,7.938226299143295
北京-0094,116.402754,39.899925,北京市,传感器,Ethernet,beijing_man2,1.9927692374452528
北京-0095,116.341351,39.792213,北京市,PC,Ethernet,beijing_man1,1.5993813721469912
北京-0096,116.398873,39.900033,北京市,laptop,Cellular,beijing_man2,3.077302400132171
北京-0097,116.398839,39.900669,北京市,laptop,Ethernet,beijing_man2,1.8584983187644637
北京-0098,116.250012,39.91176,北京市,手机,Ethernet,beijing_man2,1.935678411433632
北京-0099,116.364049,39.872953,北京市,传感器,Ethernet,beijing_man2,1.1244486825536502
北京-0100,116.39735,39.90516,北京市,laptop,Wifi,beijing_man2,1.2130277392402333
北京-0101,116.471028,39.842818,北京市,laptop,Ethernet,beijing_man1,1.2368421159535412
北京-0102,116.042801,39.705185,北京市,传感器,Ethernet,beijing_man1,1.7843576191308632
北京-0103,116.400626,39.900856,北京市,PC,Cellular,beijing_man2,1.4480134536865612
北京-0104,116.387807,39.726985,北京市,传感器,Cellular,beijing_man1,7.037610449675295
北京-0105,116.418062,39.882042,北京市,PC,Wifi,beijing_man2,3.090670562048987
北京-0106,116.994208,39.759903,北京市,laptop,Ethernet,langfang_man2,1.9199323670086548
北京-0107,116.270103,39.943283,北京市,PC,Cellular,beijing_man2,5.085617012361311
北京-0108,116.144161,40.298177,北京市,PC,Ethernet,beijing_man1,1.780545057024257
北京-0109,116.418315,39.901233,北京市,手机,Cellular,beijing_man2,5.810158224486816
北京-0110,116.802686,39.908092,北京市,laptop,Cellular,beijing_man1,7.997680750825722
北京-0111,116.309227,40.114314,北京市,laptop,Wifi,beijing_man1,2.65526789167771
北京-0112,116.405747,39.858947,北京市,PC,Ethernet,beijing_man1,1.7010591270722335
北京-0113,116.344863,39.838772,北京市,手机,Ethernet,beijing_man1,1.6107419404815868
北京-0114,116.866141,40.215034,北京市,传感器,Ethernet,beijing_man1,1.532193032452845
北京-0115,116.488709,39.888071,北京市,laptop,Wifi,beijing_man1,4.33129201635165
北京-0116,116.40004,39.900168,北京市,PC,Wifi,beijing_man2,4.58371588543079
北京-0117,116.333642,39.867306,北京市,PC,Ethernet,beijing_man2,1.669917929304737
北京-0118,116.399699,39.900014,北京市,PC,Ethernet,beijing_man2,1.1022499572948443
北京-0119,116.408977,39.888407,北京市,手机,Cellular,beijing_man2,7.395000297859393
北京-0120,116.413815,39.899379,北京市,PC,Wifi,beijing_man2,4.737532768108315
北京-0121,116.756502,40.152304,北京市,传感器,Cellular,beijing_man1,6.5337862330604235
北京-0122,116.473414,40.124392,北京市,传感器,Ethernet,beijing_man1,1.1528645892432663
北京-0123,116.862223,40.137175,北京市,PC,Cellular,langfang_man2,3.289292577076521
北京-0124,116.793761,40.055203,北京市,PC,Cellular,beijing_man1,6.508722443309456
北京-0125,116.455276,39.831183,北京市,传感器,Ethernet,beijing_man1,1.7945396839315453
北京-0126,116.298508,40.142509,北京市,手机,Ethernet,beijing_man1,1.0818936322672654
北京-0127,116.365237,39.942421,北京市,laptop,Cellular,beijing_man2,3.916736664737885
北京-0128,116.400004,39.900002,北京市,传感器,Ethernet,beijing_man2,1.1348155626808447
北京-0129,116.526089,39.753365,北京市,PC,Ethernet,beijing_man1,1.6474438244330754
北京-0130,116.400592,39.899543,北京市,手机,Wifi,beijing_man2,1.0638891439316054
北京-0131,116.418372,39.914293,北京市,laptop,Wifi,beijing_man2,2.841877643790547
北京-0132,116.400071,39.916064,北京市,手机,Ethernet,beijing_man2,1.5996981409343318
北京-0133,116.403219,39.894849,北京市,传感器,Wifi,beijing_man2,4.840563446870407
北京-0134,116.484231,39.829975,北京市,手机,Wifi,beijing_man1,2.6254122775126194
北京-0135,116.400001,39.899998,北京市,手机,Wifi,beijing_man2,3.6764110552208566
北京-0136,116.38653,39.855831,北京市,手机,Ethernet,beijing_man1,1.6927283551631742
北京-0137,116.402703,39.897209,北京市,PC,Ethernet,beijing_man2,1.2166478826057276
北京-0138,116.406228,39.863513,北京市,传感器,Ethernet,beijing_man1,1.791556332969532
北京-0139,116.43968,39.890344,北京市,PC,Ethernet,beijing_man2,1.3671893482318052
北京-0140,115.828169,39.891623,北京市,手机,Cellular,beijing_man2,5.75039431390118
北京-0141,116.357241,39.786126,北京市,laptop,Cellular,beijing_man1,4.170387764225767
北京-0142,116.510746,39.515305,北京市,PC,Cellular,langfang_man1,4.943336158360799
北京-0143,116.393783,39.89013,北京市,传感器,Wifi,beijing_man2,3.593481549544632
北京-0144,116.431888,40.210631,北京市,laptop,Wifi,beijing_man1,4.558694575544445
北京-0145,116.39992,39.90003,北京市,PC,Ethernet,beijing_man2,1.046288918641077
北京-0146,116.400408,39.897324,北京市,传感器,Cellular,beijing_man2,5.145856233105222
北京-0147,116.333505,39.810129,北京市,PC,Cellular,beijing_man1,6.070166854592945
北京-0148,116.014007,40.055717,北京市,传感器,Ethernet,beijing_man2,1.4470834208190408
北京-0149,116.59896,39.469445,北京市,手机,Ethernet,langfang_man1,1.6578248785185639
北京-0150,116.627597,40.084844,北京市,传感器,Cellular,beijing_man1,7.187475575986104
北京-0151,116.384544,39.927211,北京市,laptop,Cellular,beijing_man2,3.494359758174731
北京-0152,116.398464,39.902725,北京市,手机,Wifi,beijing_man2,3.842929230699853
北京-0153,116.295184,39.897789,北京市,laptop,Ethernet,beijing_man2,1.87073150466943
北京-0154,116.361109,39.50518,北京市,laptop,Wifi,beijing_man1,2.5231407131224253
北京-0155,116.764549,39.611484,北京市,PC,Cellular,langfang_man1,6.754564758289234
北京-0156,116.405911,39.91237,北京市,PC,Cellular,beijing_man2,3.286423948610528
北京-0157,116.454024,39.855388,北京市,手机,Wifi,beijing_man1,2.5542339643089638
北京-0158,116.296355,39.803408,北京市,传感器,Wifi,beijing_man1,4.538535600565837
北京-0159,116.430033,39.904905,北京市,laptop,Ethernet,beijing_man2,1.999838284220743
北京-0160,116.396656,39.908073,北京市,手机,Cellular,beijing_man2,1.6286900048165966
北京-0161,116.397101,39.900754,北京市,手机,Wifi,beijing_man2,4.806379602377013
北京-0162,116.546852,39.505525,北京市,手机,Cellular,langfang_man1,5.584638515957403
北京-0163,115.886819,39.918635,北京市,laptop,Ethernet,beijing_man2,1.0211627735197042
北京-0164,116.456084,39.78685,北京市,PC,Cellular,beijing_man1,6.711152423531258
北京-0165,116.24432,40.021835,北京市,手机,Ethernet,beijing_man2,1.6429049344184423
北京-0166,116.68714,40.295708,北京市,PC,Wifi,beijing_man1,3.5350172684374073
北京-0167,116.475153,39.750521,北京市,PC,Wifi,beijing_man1,2.9910169911271978
北京-0168,116.396734,39.897497,北京市,laptop,Cellular,beijing_man2,3.206454999859658
北京-0169,116.483398,39.87059,北京市,PC,Cellular,beijing_man1,3.2995003892943346
北京-0170,116.434265,40.170435,北京市,传感器,Ethernet,beijing_man1,1.6441605022558972
北京-0171,116.361218,39.91493,北京市,laptop,Cellular,beijing_man2,3.406136117168604
北京-0172,116.39994,39.900511,北京市,手机,Wifi,beijing_man2,2.8119455100792696
北京-0173,116.452271,39.957968,北京市,手机,Ethernet,beijing_man1,1.3461486917173644
北京-0174,116.399829,39.900051,北京市,laptop,Ethernet,beijing_man2,1.178158436558098
北京-0175,116.405249,39.8887,北京市,手机,Ethernet,beijing_man2,1.3847317701672033
北京-0176,116.43185,39.958081,北京市,laptop,Wifi,beijing_man2,2.846729123585817
北京-0177,116.397308,39.89901,北京市,laptop,Wifi,beijing_man2,1.0766815836874928
北京-0178,116.874798,39.87271,北京市,手机,Wifi,langfang_man2,1.760051172279859
北京-0179,116.207684,39.900761,北京市,PC,Ethernet,beijing_man2,1.3539723129666357
北京-0180,116.741328,39.540284,北京市,PC,Ethernet,langfang_man1,1.5772320608303776
北京-0181,116.419072,39.897545,北京市,传感器,Ethernet,beijing_man2,1.6131794694357136
北京-0182,116.404269,39.905068,北京市,PC,Ethernet,beijing_man2,1.1937414826111838
北京-0183,116.390101,39.895339,北京市,PC,Wifi,beijing_man2,2.288507939563968
北京-0184,116.522206,39.801399,北京市,传感器,Cellular,beijing_man1,5.770930789090621
北京-0185,116.382716,39.496502,北京市,laptop,Wifi,beijing_man1,4.956564543590128
北京-0186,116.374121,39.874565,北京市,PC,Ethernet,beijing_man2,1.3605955377723342
北京-0187,116.741501,39.970708,北京市,laptop,Cellular,beijing_man1,1.43062864714946
北京-0188,117.002533,39.891674,北京市,PC,Wifi,langfang_man2,2.408629291676833
北京-0189,116.394397,39.847817,北京市,手机,Wifi,beijing_man1,4.213388554387313
北京-0190,116.403709,39.90285,北京市,PC,Wifi,beijing_man2,2.949540397424173
北京-0191,116.571189,39.908142,北京市,laptop,Ethernet,beijing_man1,1.879040243110965
北京-0192,116.411565,39.8884,北京市,传感器,Ethernet,beijing_man2,1.5008486654134026
北京-0193,116.398765,39.900281,北京市,PC,Cellular,beijing_man2,7.958266786810249
北京-0194,116.396036,39.900296,北京市,PC,Cellular,beijing_man2,4.0412549420599175
北京-0195,116.400096,39.900031,北京市,laptop,Ethernet,beijing_man2,1.9303244423574017
北京-0196,116.4,39.900001,北京市,laptop,Ethernet,beijing_man2,1.219845712652602
北京-0197,116.408676,39.895499,北京市,PC,Cellular,beijing_man2,7.34426962247303
北京-0198,116.514603,39.821952,北京市,laptop,Wifi,beijing_man1,1.4169702641590733
北京-0199,116.480974,39.934238,北京市,手机,Wifi,beijing_man1,4.701308822269995
北京-0200,116.47938,40.063685,北京市,PC,Cellular,beijing_man1,6.204341189980039
北京-0201,116.399833,39.899974,北京市,laptop,Ethernet,beijing_man2,1.8521573944109384
北京-0202,116.479312,39.714504,北京市,手机,Cellular,beijing_man1,4.691537310063026
北京-0203,116.402816,39.900557,北京市,PC,Cellular,beijing_man2,5.29111038017559
北京-0204,116.49619,39.923681,北京市,手机,Ethernet,beijing_man1,1.3533488175207768
北京-0205,116.429169,39.907028,北京市,laptop,Wifi,beijing_man2,2.160734975604251
北京-0206,116.375351,40.135129,北京市,PC,Wifi,beijing_man1,4.0623988800247846
北京-0207,116.473641,39.93421,北京市,PC,Cellular,beijing_man1,1.8512481558816607
北京-0208,116.346251,39.813786,北京市,laptop,Ethernet,beijing_man1,1.200265493350034
北京-0209,116.478371,39.717631,北京市,laptop,Ethernet,beijing_man1,1.6018373741695362
北京-0210,116.399834,39.900276,北京市,手机,Wifi,beijing_man2,2.978982464011803
北京-0211,116.215962,39.84863,北京市,laptop,Wifi,beijing_man2,2.541733439339395
北京-0212,116.487567,39.756451,北京市,laptop,Wifi,beijing_man1,2.998097925582167
北京-0213,116.484863,40.279913,北京市,PC,Wifi,beijing_man1,1.2968297197806762
北京-0214,116.302024,39.8974,北京市,手机,Wifi,beijing_man2,3.2078887022426925
北京-0215,116.185887,39.526504,北京市,手机,Cellular,beijing_man1,5.660402412071415
北京-0216,116.057371,40.227929,北京市,手机,Ethernet,beijing_man1,1.7276651352887704
北京-0217,116.988708,40.029655,北京市,laptop,Cellular,langfang_man2,3.3889565693983648
北京-0218,116.35177,39.941481,北京市,PC,Cellular,beijing_man2,5.430370521926417
北京-0219,116.553081,39.923509,北京市,PC,Wifi,beijing_man1,2.972996196889594
北京-0220,116.191343,39.95893,北京市,传感器,Cellular,beijing_man2,5.566967557635221
北京-0221,116.580447,40.304248,北京市,PC,Cellular,beijing_man1,3.780082298763605
北京-0222,116.334304,39.9081,北京市,手机,Ethernet,beijing_man2,1.6989232894534507
北京-0223,116.3055,39.981627,北京市,传感器,Ethernet,beijing_man2,1.2218226181193432
北京-0224,116.329807,39.94533,北京市,PC,Wifi,beijing_man2,2.9736883407153227
北京-0225,116.401621,39.890269,北京市,手机,Cellular,beijing_man2,2.2995861393667765
北京-0226,116.40363,39.919134,北京市,传感器,Cellular,beijing_man2,4.73372925061544
北京-0227,116.393341,39.901803,北京市,传感器,Wifi,beijing_man2,2.932754319376406
北京-0228,116.406527,39.811173,北京市,手机,Ethernet,beijing_man1,1.4478218811936117
北京-0229,116.464957,39.95125,北京市,手机,Ethernet,beijing_man1,1.0716679734614334
北京-0230,116.298615,39.901963,北京市,手机,Cellular,beijing_man2,6.713503275473416
北京-0231,116.249636,39.80199,北京市,laptop,Ethernet,beijing_man1,1.8144239714383863
北京-0232,116.424506,39.835049,北京市,传感器,Cellular,beijing_man1,2.689234966901211
北京-0233,116.276184,39.746458,北京市,PC,Ethernet,beijing_man1,1.636366908828563
北京-0234,116.19381,39.94354,北京市,laptop,Cellular,beijing_man2,4.615045762214671
北京-0235,116.379772,39.918796,北京市,laptop,Wifi,beijing_man2,3.872954041893391
北京-0236,116.941468,39.570781,北京市,PC,Wifi,langfang_man1,1.9367373345454357
北京-0237,116.399083,39.90094,北京市,手机,Ethernet,beijing_man2,1.5441765874990603
北京-0238,116.363312,39.877367,北京市,手机,Cellular,beijing_man2,3.1459034758809423
北京-0239,116.396621,39.900732,北京市,PC,Cellular,beijing_man2,1.9956039740643061
北京-0240,116.632986,40.401371,北京市,传感器,Wifi,beijing_man1,1.47421383788001
北京-0241,116.349325,39.618612,北京市,laptop,Wifi,beijing_man1,3.6200466729555596
北京-0242,116.833333,40.018687,北京市,传感器,Ethernet,beijing_man1,1.4566749099683414
北京-0243,116.40287,39.836215,北京市,传感器,Ethernet,beijing_man1,1.950957698754912
北京-0244,116.399997,39.900011,北京市,传感器,Wifi,beijing_man2,3.2174268883737343
北京-0245,116.871353,39.937911,北京市,传感器,Cellular,langfang_man2,2.2656579530079526
北京-0246,116.231412,39.561284,北京市,手机,Wifi,beijing_man1,4.642472687767582
北京-0247,116.803774,40.009676,北京市,laptop,Wifi,beijing_man1,2.6159631872282425
北京-0248,116.392906,39.902978,北京市,传感器,Ethernet,beijing_man2,1.0813641731830557
北京-0249,116.777368,39.996003,北京市,laptop,Wifi,beijing_man1,1.5376147572365677
北京-0250,116.403467,39.901446,北京市,手机,Wifi,beijing_man2,1.8405364210348027
北京-0251,116.404159,39.892748,北京市,手机,Cellular,beijing_man2,4.782219163092409
北京-0252,116.441289,39.912222,北京市,传感器,Cellular,beijing_man1,5.987362456820926
北京-0253,116.387515,39.888315,北京市,手机,Wifi,beijing_man2,4.915084008189654
北京-0254,116.394908,39.899691,北京市,PC,Cellular,beijing_man2,5.573891752409446
北京-0255,116.04797,40.149548,北京市,laptop,Cellular,beijing_man2,7.973483305871122
北京-0256,116.468029,39.964916,北京市,laptop,Wifi,beijing_man1,1.0629716415386095
北京-0257,116.366227,39.825988,北京市,PC,Wifi,beijing_man1,2.4151308532732965
北京-0258,116.400961,40.104581,北京市,laptop,Wifi,beijing_man1,2.054042559398723
北京-0259,116.523004,39.594355,北京市,PC,Wifi,langfang_man1,1.55755096780383
北京-0260,116.863476,39.883016,北京市,传感器,Ethernet,langfang_man2,1.0341220622119378
北京-0261,115.940552,40.06922,北京市,传感器,Cellular,beijing_man2,4.457813947603874
北京-0262,116.496568,39.873555,北京市,laptop,Ethernet,beijing_man1,1.4759413202415277
北京-0263,116.103462,39.995836,北京市,传感器,Cellular,beijing_man2,1.9890125143085198
北京-0264,116.381862,39.882344,北京市,手机,Wifi,beijing_man2,1.817312465783453
北京-0265,116.401059,39.900734,北京市,传感器,Cellular,beijing_man2,6.564457576761759
北京-0266,116.399908,39.899915,北京市,手机,Wifi,beijing_man2,4.80013390333159
北京-0267,116.835396,39.817613,北京市,laptop,Ethernet,langfang_man2,1.8815164994928475
北京-0268,116.502532,40.060295,北京市,PC,Cellular,beijing_man1,4.891260985838814
北京-0269,116.40658,39.914952,北京市,手机,Ethernet,beijing_man2,1.3206048658031486
北京-0270,116.203583,39.941593,北京市,PC,Ethernet,beijing_man2,1.2718329638335466
北京-0271,116.626117,39.573861,北京市,laptop,Cellular,langfang_man1,3.9200686402775355
北京-0272,116.400236,39.900277,北京市,手机,Ethernet,beijing_man2,1.6822169465041252
北京-0273,116.203478,40.379203,北京市,PC,Cellular,beijing_man1,2.6124299888463347
北京-0274,116.394108,39.954442,北京市,手机,Ethernet,beijing_man2,1.8199989487764032
北京-0275,116.240999,39.836802,北京市,laptop,Ethernet,beijing_man2,1.373260591180906
北京-0276,116.407067,39.901708,北京市,PC,Ethernet,beijing_man2,1.8157623538086636
北京-0277,116.399987,39.900004,北京市,手机,Cellular,beijing_man2,7.592536237284626
北京-0278,116.27463,39.719473,北京市,PC,Ethernet,beijing_man1,1.0549341510125423
北京-0279,117.004813,39.904949,北京市,PC,Ethernet,langfang_man2,1.7209529670504282
北京-0280,116.328937,39.840995,北京市,手机,Cellular,beijing_man2,3.890549113821452
北京-0281,116.175461,40.072139,北京市,PC,Cellular,beijing_man2,6.836714476631188
北京-0282,116.117569,39.872805,北京市,手机,Wifi,beijing_man2,4.350005060743056
北京-0283,116.395602,39.905476,北京市,传感器,Cellular,beijing_man2,2.379330567399904
北京-0284,116.339564,39.971158,北京市,laptop,Wifi,beijing_man2,2.3763942737196238
北京-0285,117.009143,40.030058,北京市,PC,Ethernet,langfang_man2,1.4522130172941963
北京-0286,116.806911,40.24217,北京市,laptop,Ethernet,beijing_man1,1.6142284048402145
北京-0287,116.476068,40.191584,北京市,PC,Cellular,beijing_man1,6.507235010170446
北京-0288,116.386735,39.912383,北京市,手机,Ethernet,beijing_man2,1.2722272334665754
北京-0289,116.410729,39.914387,北京市,手机,Ethernet,beijing_man2,1.2235657863874803
北京-0290,116.400439,39.900895,北京市,手机,Ethernet,beijing_man2,1.9754142139547322
北京-0291,116.857569,40.029356,北京市,手机,Ethernet,langfang_man2,1.0232839993966558
北京-0292,117.075831,40.016324,北京市,laptop,Cellular,langfang_man2,2.6547073230539997
北京-0293,116.516202,40.379345,北京市,PC,Wifi,beijing_man1,1.3438273264674345
北京-0294,116.19468,39.387912,北京市,laptop,Cellular,baoding_man2,6.67085706416304
北京-0295,116.276138,39.950851,北京市,laptop,Cellular,beijing_man2,2.580874481266882
北京-0296,116.603802,39.717957,北京市,laptop,Ethernet,beijing_man1,1.8222551185986013
北京-0297,116.674342,40.087166,北京市,手机,Ethernet,beijing_man1,1.4228305177573701
北京-0298,116.328052,40.012786,北京市,传感器,Wifi,beijing_man2,3.0231028074827497
北京-0299,116.399998,39.900004,北京市,传感器,Cellular,beijing_man2,4.529265229081936
北京-0300,116.584161,39.443567,北京市,传感器,Cellular,langfang_man1,7.247139664624684
北京-0301,116.104997,39.992419,北京市,传感器,Wifi,beijing_man2,1.572984091541005
北京-0302,116.399996,39.900016,北京市,PC,Ethernet,beijing_man2,1.3029119860779534
北京-0303,116.179238,39.912365,北京市,手机,Ethernet,beijing_man2,1.7443489035574438
北京-0304,116.216337,39.955324,北京市,PC,Ethernet,beijing_man2,1.8146061657375627
北京-0305,115.942582,39.761989,北京市,手机,Wifi,beijing_man2,4.764004279197813
北京-0306,116.391737,39.910112,北京市,手机,Wifi,beijing_man2,2.457076247663041
北京-0307,116.397777,39.902158,北京市,laptop,Ethernet,beijing_man2,1.881704736575958
北京-0308,116.399998,39.900001,北京市,PC,Wifi,beijing_man2,4.721528256624445
北京-0309,116.473581,40.04093,北京市,手机,Ethernet,beijing_man1,1.3693462084133903
北京-0310,116.697336,39.464053,北京市,PC,Wifi,langfang_man1,2.4124810171932056
北京-0311,116.338126,39.851025,北京市,laptop,Ethernet,beijing_man2,1.5216539862074039
北京-0312,116.568286,40.058057,北京市,laptop,Ethernet,beijing_man1,1.3268565855167889
北京-0313,116.396873,39.897641,北京市,PC,Cellular,beijing_man2,6.70204508178079
