TaskID,AppType,DeviceID,RequestSizeGB,MaxLatencySec,DataLengthGB,CoreRequirement,AccessNode,StartTime,EndTime,Status,AssignedNode,ExecutionTime,TotalLatency,IsSuccess
邢台-0150-1745487269835,低时延,邢台-0150,0.2734375,0.3,130.385160446167,28,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
邢台-0153-1745487269835,长时间占用网络资源,邢台-0153,1.3671875,2.0,130.385160446167,56,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
邢台-0182-1745487269835,低时延,邢台-0182,0.2734375,0.3,130.385160446167,28,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
邢台-0190-1745487269835,长时间占用网络资源,邢台-0190,1.3671875,2.0,130.385160446167,56,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
邢台-0204-1745487269835,低时延,邢台-0204,0.2734375,0.3,130.385160446167,28,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
邢台-0227-1745487269835,低需求,邢台-0227,0.2734375,1.0,13.0385160446167,28,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
邢台-0235-1745487269835,低需求,邢台-0235,0.2734375,1.0,13.0385160446167,28,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
邢台-0237-1745487269835,低需求,邢台-0237,0.2734375,1.0,13.0385160446167,28,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
邢台-0250-1745487269835,长时间占用网络资源,邢台-0250,1.3671875,2.0,130.385160446167,56,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
邢台-0258-1745487269835,低需求,邢台-0258,0.2734375,1.0,13.0385160446167,28,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
邢台-0283-1745487269835,长时间占用网络资源,邢台-0283,1.3671875,2.0,130.385160446167,56,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
邢台-0297-1745487269835,低需求,邢台-0297,0.2734375,1.0,13.0385160446167,28,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
邢台-0310-1745487269835,低时延,邢台-0310,0.2734375,0.3,130.385160446167,28,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0227-1745487269835,低时延,北京-0227,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
北京-0232-1745487269835,低需求,北京-0232,0.2734375,1.0,13.0385160446167,28,beijing-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
北京-0298-1745487269835,低时延,北京-0298,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
北京-0348-1745487269835,低时延,北京-0348,0.2734375,0.3,130.385160446167,28,beijing-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
北京-0357-1745487269835,低需求,北京-0357,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
北京-0369-1745487269835,低时延,北京-0369,0.2734375,0.3,130.385160446167,28,beijing-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
北京-0481-1745487269835,低需求,北京-0481,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
北京-0673-1745487269835,低时延,北京-0673,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
北京-0703-1745487269835,低需求,北京-0703,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
北京-0763-1745487269835,低时延,北京-0763,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
北京-0789-1745487269835,低时延,北京-0789,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
北京-0810-1745487269835,低时延,北京-0810,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
北京-0866-1745487269835,低需求,北京-0866,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
北京-0891-1745487269835,低时延,北京-0891,0.2734375,0.3,130.385160446167,28,beijing-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
北京-0903-1745487269835,低需求,北京-0903,0.2734375,1.0,13.0385160446167,28,beijing-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
北京-0979-1745487269835,低需求,北京-0979,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
唐山-0058-1745487269835,低时延,唐山-0058,0.2734375,0.3,130.385160446167,28,tangshan-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
唐山-0233-1745487269835,低需求,唐山-0233,0.2734375,1.0,13.0385160446167,28,tangshan-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
唐山-0246-1745487269835,低需求,唐山-0246,0.2734375,1.0,13.0385160446167,28,tangshan-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
唐山-0303-1745487269835,低需求,唐山-0303,0.2734375,1.0,13.0385160446167,28,tianjin-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
天津-0071-1745487269835,低需求,天津-0071,0.2734375,1.0,13.0385160446167,28,tianjin-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
天津-0081-1745487269835,低时延,天津-0081,0.2734375,0.3,130.385160446167,28,tianjin-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
天津-0150-1745487269835,低需求,天津-0150,0.2734375,1.0,13.0385160446167,28,tianjin-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
天津-0254-1745487269835,低时延,天津-0254,0.2734375,0.3,130.385160446167,28,tianjin-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
天津-0259-1745487269835,低需求,天津-0259,0.2734375,1.0,13.0385160446167,28,tianjin-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
天津-0430-1745487269835,低需求,天津-0430,0.2734375,1.0,13.0385160446167,28,tianjin-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
天津-0433-1745487269835,低时延,天津-0433,0.2734375,0.3,130.385160446167,28,tianjin-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
天津-0504-1745487269835,低时延,天津-0504,0.2734375,0.3,130.385160446167,28,tianjin-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
天津-0509-1745487269835,低需求,天津-0509,0.2734375,1.0,13.0385160446167,28,tianjin-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
天津-0538-1745487269835,低时延,天津-0538,0.2734375,0.3,130.385160446167,28,tianjin-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
天津-0567-1745487269835,低时延,天津-0567,0.2734375,0.3,130.385160446167,28,tianjin-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
天津-0579-1745487269835,低需求,天津-0579,0.2734375,1.0,13.0385160446167,28,tianjin-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
石家-0011-1745487269835,低时延,石家-0011,0.2734375,0.3,130.385160446167,28,shijiangzhuang-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
石家-0030-1745487269835,低需求,石家-0030,0.2734375,1.0,13.0385160446167,28,shijiangzhuang-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
石家-0103-1745487269835,低需求,石家-0103,0.2734375,1.0,13.0385160446167,28,shijiangzhuang-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
石家-0126-1745487269835,低时延,石家-0126,0.2734375,0.3,130.385160446167,28,shijiangzhuang-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
石家-0217-1745487269835,低时延,石家-0217,0.2734375,0.3,130.385160446167,28,shijiangzhuang-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
石家-0260-1745487269835,低时延,石家-0260,0.2734375,0.3,130.385160446167,28,shijiangzhuang-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
石家-0262-1745487269835,低需求,石家-0262,0.2734375,1.0,13.0385160446167,28,shijiangzhuang-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
石家-0265-1745487269835,低需求,石家-0265,0.2734375,1.0,13.0385160446167,28,shijiangzhuang-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
石家-0291-1745487269835,低需求,石家-0291,0.2734375,1.0,13.0385160446167,28,shijiangzhuang-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
石家-0350-1745487269835,低需求,石家-0350,0.2734375,1.0,13.0385160446167,28,shijiangzhuang-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
石家-0360-1745487269835,低需求,石家-0360,0.2734375,1.0,13.0385160446167,28,shijiangzhuang-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
石家-0378-1745487269835,低需求,石家-0378,0.2734375,1.0,13.0385160446167,28,shijiangzhuang-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
石家-0451-1745487269835,低需求,石家-0451,0.2734375,1.0,13.0385160446167,28,shijiangzhuang-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
石家-0459-1745487269835,低时延,石家-0459,0.2734375,0.3,130.385160446167,28,shijiangzhuang-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
石家-0462-1745487269835,低需求,石家-0462,0.2734375,1.0,13.0385160446167,28,shijiangzhuang-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
衡水-0021-1745487269835,长时间占用网络资源,衡水-0021,1.3671875,2.0,130.385160446167,56,hengshui-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
衡水-0043-1745487269835,低时延,衡水-0043,0.2734375,0.3,130.385160446167,28,hengshui-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
衡水-0075-1745487269835,长时间占用网络资源,衡水-0075,1.3671875,2.0,130.385160446167,56,hengshui-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
衡水-0084-1745487269835,低时延,衡水-0084,0.2734375,0.3,130.385160446167,28,hengshui-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
衡水-0103-1745487269835,低时延,衡水-0103,0.2734375,0.3,130.385160446167,28,hengshui-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
衡水-0126-1745487269835,长时间占用网络资源,衡水-0126,1.3671875,2.0,130.385160446167,56,hengshui-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
衡水-0166-1745487269835,低时延,衡水-0166,0.2734375,0.3,130.385160446167,28,hengshui-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
衡水-0187-1745487269835,低时延,衡水-0187,0.2734375,0.3,130.385160446167,28,hengshui-man2,,0.003,失败,,0,0.003,False,无符合条件的节点
邢台-0041-1745487269835,长时间占用网络资源,邢台-0041,1.3671875,2.0,130.385160446167,56,xingtai-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
邢台-0056-1745487269835,低需求,邢台-0056,0.2734375,1.0,13.0385160446167,28,xingtai-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
邢台-0080-1745487269835,长时间占用网络资源,邢台-0080,1.3671875,2.0,130.385160446167,56,xingtai-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
邢台-0131-1745487269835,低时延,邢台-0131,0.2734375,0.3,130.385160446167,28,xingtai-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
邢台-0181-1745487269835,长时间占用网络资源,邢台-0181,1.3671875,2.0,130.385160446167,56,xingtai-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
邢台-0218-1745487269835,低时延,邢台-0218,0.2734375,0.3,130.385160446167,28,xingtai-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
邢台-0231-1745487269835,低时延,邢台-0231,0.2734375,0.3,130.385160446167,28,xingtai-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
邢台-0243-1745487269835,低时延,邢台-0243,0.2734375,0.3,130.385160446167,28,xingtai-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
邢台-0265-1745487269835,长时间占用网络资源,邢台-0265,1.3671875,2.0,130.385160446167,56,xingtai-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
邢台-0289-1745487269835,长时间占用网络资源,邢台-0289,1.3671875,2.0,130.385160446167,56,xingtai-man1,,0.003,失败,,0,0.003,False,无符合条件的节点
北京-0002-1745487269835,低时延,北京-0002,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0088-1745487269835,低需求,北京-0088,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0143-1745487269835,低时延,北京-0143,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0261-1745487269835,低时延,北京-0261,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0398-1745487269835,低时延,北京-0398,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0467-1745487269835,低需求,北京-0467,0.2734375,1.0,13.0385160446167,28,beijing-man1,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0579-1745487269835,低需求,北京-0579,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0584-1745487269835,低时延,北京-0584,0.2734375,0.3,130.385160446167,28,beijing-man1,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0593-1745487269835,低时延,北京-0593,0.2734375,0.3,130.385160446167,28,beijing-man1,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0731-1745487269835,低时延,北京-0731,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0756-1745487269835,低时延,北京-0756,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0773-1745487269835,低需求,北京-0773,0.2734375,1.0,13.0385160446167,28,beijing-man1,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0781-1745487269835,低需求,北京-0781,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0785-1745487269835,低需求,北京-0785,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0813-1745487269835,低需求,北京-0813,0.2734375,1.0,13.0385160446167,28,beijing-man1,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0922-1745487269835,低时延,北京-0922,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0924-1745487269835,低时延,北京-0924,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0949-1745487269835,低需求,北京-0949,0.2734375,1.0,13.0385160446167,28,beijing-man1,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0985-1745487269835,低时延,北京-0985,0.2734375,0.3,130.385160446167,28,beijing-man1,,0.004,失败,,0,0.004,False,无符合条件的节点
北京-0988-1745487269835,低需求,北京-0988,0.2734375,1.0,13.0385160446167,28,beijing-man1,,0.004,失败,,0,0.004,False,无符合条件的节点
唐山-0016-1745487269835,低时延,唐山-0016,0.2734375,0.3,130.385160446167,28,tangshan-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
唐山-0069-1745487269835,低时延,唐山-0069,0.2734375,0.3,130.385160446167,28,tangshan-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
唐山-0098-1745487269835,低需求,唐山-0098,0.2734375,1.0,13.0385160446167,28,tangshan-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
唐山-0118-1745487269835,低时延,唐山-0118,0.2734375,0.3,130.385160446167,28,tangshan-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
唐山-0126-1745487269835,低需求,唐山-0126,0.2734375,1.0,13.0385160446167,28,tangshan-man1,,0.004,失败,,0,0.004,False,无符合条件的节点
唐山-0238-1745487269835,低需求,唐山-0238,0.2734375,1.0,13.0385160446167,28,tangshan-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
唐山-0250-1745487269835,低时延,唐山-0250,0.2734375,0.3,130.385160446167,28,tangshan-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
唐山-0272-1745487269835,低需求,唐山-0272,0.2734375,1.0,13.0385160446167,28,tangshan-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
唐山-0300-1745487269835,低时延,唐山-0300,0.2734375,0.3,130.385160446167,28,tangshan-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
唐山-0331-1745487269835,低需求,唐山-0331,0.2734375,1.0,13.0385160446167,28,tangshan-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
天津-0061-1745487269835,低需求,天津-0061,0.2734375,1.0,13.0385160446167,28,tianjin-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
天津-0085-1745487269835,低需求,天津-0085,0.2734375,1.0,13.0385160446167,28,tianjin-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
天津-0093-1745487269835,低时延,天津-0093,0.2734375,0.3,130.385160446167,28,tianjin-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
天津-0118-1745487269835,低时延,天津-0118,0.2734375,0.3,130.385160446167,28,tianjin-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
天津-0159-1745487269835,低需求,天津-0159,0.2734375,1.0,13.0385160446167,28,tianjin-man1,,0.004,失败,,0,0.004,False,无符合条件的节点
天津-0202-1745487269835,低时延,天津-0202,0.2734375,0.3,130.385160446167,28,tianjin-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
天津-0215-1745487269835,低需求,天津-0215,0.2734375,1.0,13.0385160446167,28,tianjin-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
天津-0242-1745487269835,低时延,天津-0242,0.2734375,0.3,130.385160446167,28,tianjin-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
天津-0247-1745487269835,低时延,天津-0247,0.2734375,0.3,130.385160446167,28,tianjin-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
天津-0267-1745487269835,低需求,天津-0267,0.2734375,1.0,13.0385160446167,28,tianjin-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
天津-0305-1745487269835,低时延,天津-0305,0.2734375,0.3,130.385160446167,28,tianjin-man2,,0.004,失败,,0,0.004,False,无符合条件的节点
