TaskID,AppType,DeviceID,RequestSize,Max Latency,Length,core,任务生成时间,任务发送时间,接入节点
廊坊-0099-1745487269835,长时间占用网络资源,廊坊-0099,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.025毫秒,langfang_man1
石家-0344-1745487269835,低时延,石家-0344,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.026毫秒,shijiangzhuang_man1
衡水-0060-1745487269835,低时延,衡水-0060,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.026毫秒,hengshui_man1
唐山-0133-1745487269835,低需求,唐山-0133,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.029毫秒,tangshan_man2
秦皇-0243-1745487269835,低需求,秦皇-0243,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.030毫秒,qhd_man2
廊坊-0081-1745487269835,长时间占用网络资源,廊坊-0081,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.031毫秒,langfang_man1
唐山-0111-1745487269835,低需求,唐山-0111,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.033毫秒,tangshan_man2
秦皇-0038-1745487269835,低时延,秦皇-0038,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.033毫秒,qhd_man2
秦皇-0414-1745487269835,长时间占用网络资源,秦皇-0414,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.033毫秒,qhd_man2
北京-0260-1745487269835,低时延,北京-0260,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.034毫秒,langfang_man2
衡水-0040-1745487269835,低需求,衡水-0040,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.037毫秒,hengshui_man1
承德-0133-1745487269835,长时间占用网络资源,承德-0133,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.038毫秒,chengde_man1
沧州-0141-1745487269835,低需求,沧州-0141,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.038毫秒,cangzhou_man1
衡水-0158-1745487269835,低时延,衡水-0158,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.039毫秒,hengshui_man1
邢台-0034-1745487269835,长时间占用网络资源,邢台-0034,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.039毫秒,xingtai_man1
沧州-0299-1745487269835,低时延,沧州-0299,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.042毫秒,cangzhou_man1
天津-0366-1745487269835,低需求,天津-0366,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.044毫秒,tianjin_man2
石家-0465-1745487269835,长时间占用网络资源,石家-0465,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.044毫秒,shijiangzhuang_man1
石家-0281-1745487269835,低需求,石家-0281,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.046毫秒,shijiangzhuang_man1
天津-0461-1745487269835,低需求,天津-0461,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.048毫秒,tianjin_man1
天津-0255-1745487269835,低时延,天津-0255,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.053毫秒,tianjin_man1
石家-0163-1745487269835,低需求,石家-0163,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.055毫秒,shijiangzhuang_man1
石家-0046-1745487269835,长时间占用网络资源,石家-0046,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.064毫秒,shijiangzhuang_man1
石家-0207-1745487269835,低需求,石家-0207,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.066毫秒,shijiangzhuang_man1
唐山-0229-1745487269835,长时间占用网络资源,唐山-0229,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.067毫秒,tangshan_man2
衡水-0157-1745487269835,长时间占用网络资源,衡水-0157,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.069毫秒,hengshui_man1
承德-0071-1745487269835,低时延,承德-0071,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.070毫秒,chengde_man1
石家-0067-1745487269835,低需求,石家-0067,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.075毫秒,baoding_man1
唐山-0080-1745487269835,长时间占用网络资源,唐山-0080,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.080毫秒,tangshan_man2
北京-0248-1745487269835,低时延,北京-0248,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.081毫秒,beijing_man2
廊坊-0110-1745487269835,长时间占用网络资源,廊坊-0110,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.081毫秒,langfang_man1
保定-0158-1745487269835,低时延,保定-0158,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.084毫秒,baoding_man1
张家-0039-1745487269835,低需求,张家-0039,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.084毫秒,zhangjiako_man1
唐山-0073-1745487269835,低时延,唐山-0073,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.085毫秒,tangshan_man2
保定-0323-1745487269835,低时延,保定-0323,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.085毫秒,baoding_man1
秦皇-0416-1745487269835,长时间占用网络资源,秦皇-0416,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.085毫秒,qhd_man2
天津-0288-1745487269835,低时延,天津-0288,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.086毫秒,tianjin_man2
秦皇-0127-1745487269835,低时延,秦皇-0127,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.086毫秒,qhd_man2
承德-0021-1745487269835,低时延,承德-0021,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.088毫秒,chengde_man1
沧州-0010-1745487269835,长时间占用网络资源,沧州-0010,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.088毫秒,cangzhou_man1
石家-0112-1745487269835,低需求,石家-0112,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.091毫秒,shijiangzhuang_man1
秦皇-0205-1745487269835,长时间占用网络资源,秦皇-0205,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.095毫秒,qhd_man2
北京-0332-1745487269835,长时间占用网络资源,北京-0332,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.097毫秒,beijing_man2
沧州-0320-1745487269835,低需求,沧州-0320,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.097毫秒,cangzhou_man1
北京-0720-1745487269835,长时间占用网络资源,北京-0720,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.098毫秒,beijing_man2
天津-0510-1745487269835,低时延,天津-0510,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.099毫秒,tianjin_man2
秦皇-0304-1745487269835,长时间占用网络资源,秦皇-0304,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.099毫秒,qhd_man2
天津-0425-1745487269835,低时延,天津-0425,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.100毫秒,tianjin_man2
廊坊-0072-1745487269835,低时延,廊坊-0072,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.100毫秒,langfang_man2
保定-0215-1745487269835,长时间占用网络资源,保定-0215,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.103毫秒,baoding_man1
秦皇-0133-1745487269835,低时延,秦皇-0133,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.105毫秒,qhd_man2
廊坊-0024-1745487269835,长时间占用网络资源,廊坊-0024,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.107毫秒,langfang_man1
秦皇-0315-1745487269835,低需求,秦皇-0315,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.109毫秒,qhd_man2
天津-0545-1745487269835,低需求,天津-0545,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.110毫秒,langfang_man1
承德-0008-1745487269835,长时间占用网络资源,承德-0008,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.110毫秒,chengde_man1
秦皇-0163-1745487269835,低时延,秦皇-0163,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.115毫秒,qhd_man2
秦皇-0319-1745487269835,低时延,秦皇-0319,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.115毫秒,qhd_man2
邢台-0108-1745487269835,低需求,邢台-0108,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.117毫秒,xingtai_man1
北京-0890-1745487269835,低时延,北京-0890,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.118毫秒,beijing_man1
北京-0993-1745487269835,长时间占用网络资源,北京-0993,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.118毫秒,beijing_man1
保定-0139-1745487269835,低需求,保定-0139,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.118毫秒,baoding_man1
秦皇-0400-1745487269835,低需求,秦皇-0400,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.122毫秒,qhd_man2
北京-0099-1745487269835,低时延,北京-0099,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.124毫秒,beijing_man2
天津-0326-1745487269835,低时延,天津-0326,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.124毫秒,tianjin_man1
唐山-0153-1745487269835,长时间占用网络资源,唐山-0153,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.125毫秒,tangshan_man2
天津-0477-1745487269835,长时间占用网络资源,天津-0477,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.126毫秒,tianjin_man2
邢台-0031-1745487269835,长时间占用网络资源,邢台-0031,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.127毫秒,xingtai_man1
石家-0302-1745487269835,低需求,石家-0302,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.128毫秒,shijiangzhuang_man1
邢台-0014-1745487269835,低需求,邢台-0014,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.129毫秒,xingtai_man1
北京-0844-1745487269835,低时延,北京-0844,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.130毫秒,beijing_man2
承德-0010-1745487269835,低时延,承德-0010,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.131毫秒,chengde_man1
北京-0568-1745487269835,低需求,北京-0568,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.133毫秒,beijing_man2
秦皇-0417-1745487269835,长时间占用网络资源,秦皇-0417,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.133毫秒,qhd_man2
北京-0128-1745487269835,长时间占用网络资源,北京-0128,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.135毫秒,beijing_man2
张家-0097-1745487269835,低需求,张家-0097,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.137毫秒,zhangjiako_man1
保定-0430-1745487269835,长时间占用网络资源,保定-0430,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.141毫秒,baoding_man1
衡水-0045-1745487269835,低时延,衡水-0045,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.144毫秒,hengshui_man1
沧州-0243-1745487269835,长时间占用网络资源,沧州-0243,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.144毫秒,cangzhou_man1
唐山-0213-1745487269835,长时间占用网络资源,唐山-0213,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.148毫秒,tangshan_man2
北京-0122-1745487269835,长时间占用网络资源,北京-0122,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.153毫秒,beijing_man1
邢台-0075-1745487269835,长时间占用网络资源,邢台-0075,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.153毫秒,xingtai_man1
天津-0449-1745487269835,长时间占用网络资源,天津-0449,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.154毫秒,tianjin_man2
天津-0076-1745487269835,长时间占用网络资源,天津-0076,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.162毫秒,langfang_man1
邯郸-0035-1745487269835,长时间占用网络资源,邯郸-0035,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.164毫秒,handan_man1
北京-0458-1745487269835,低时延,北京-0458,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.167毫秒,beijing_man2
石家-0198-1745487269835,低时延,石家-0198,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.167毫秒,shijiangzhuang_man1
石家-0472-1745487269835,低时延,石家-0472,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.167毫秒,shijiangzhuang_man1
北京-0335-1745487269835,低时延,北京-0335,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.168毫秒,beijing_man1
沧州-0196-1745487269835,低需求,沧州-0196,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.168毫秒,cangzhou_man1
唐山-0030-1745487269835,长时间占用网络资源,唐山-0030,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.169毫秒,tangshan_man2
廊坊-0031-1745487269835,低时延,廊坊-0031,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.170毫秒,langfang_man1
北京-0008-1745487269835,长时间占用网络资源,北京-0008,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.172毫秒,beijing_man2
保定-0114-1745487269835,低需求,保定-0114,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.172毫秒,baoding_man2
邢台-0118-1745487269835,低时延,邢台-0118,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.172毫秒,xingtai_man1
沧州-0052-1745487269835,低需求,沧州-0052,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.175毫秒,cangzhou_man1
张家-0077-1745487269835,低需求,张家-0077,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.183毫秒,zhangjiako_man1
天津-0077-1745487269835,低需求,天津-0077,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.185毫秒,tianjin_man2
唐山-0209-1745487269835,低需求,唐山-0209,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.186毫秒,tangshan_man2
张家-0043-1745487269835,长时间占用网络资源,张家-0043,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.186毫秒,zhangjiako_man1
沧州-0252-1745487269835,低需求,沧州-0252,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.186毫秒,cangzhou_man1
保定-0005-1745487269835,低时延,保定-0005,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.187毫秒,baoding_man1
秦皇-0217-1745487269835,低时延,秦皇-0217,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.188毫秒,qhd_man2
石家-0379-1745487269835,低需求,石家-0379,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.190毫秒,shijiangzhuang_man1
秦皇-0015-1745487269835,长时间占用网络资源,秦皇-0015,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.190毫秒,qhd_man2
北京-0394-1745487269835,长时间占用网络资源,北京-0394,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.192毫秒,beijing_man1
秦皇-0326-1745487269835,长时间占用网络资源,秦皇-0326,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.192毫秒,qhd_man2
北京-0030-1745487269835,长时间占用网络资源,北京-0030,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.195毫秒,beijing_man2
邢台-0253-1745487269835,低需求,邢台-0253,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.196毫秒,xingtai_man1
石家-0146-1745487269835,长时间占用网络资源,石家-0146,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.197毫秒,shijiangzhuang_man1
张家-0091-1745487269835,低时延,张家-0091,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.198毫秒,zhangjiako_man1
秦皇-0262-1745487269835,低需求,秦皇-0262,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.199毫秒,qhd_man2
保定-0458-1745487269835,低时延,保定-0458,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.200毫秒,baoding_man1
天津-0211-1745487269835,低需求,天津-0211,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.201毫秒,tianjin_man2
张家-0051-1745487269835,低需求,张家-0051,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.201毫秒,zhangjiako_man1
北京-0083-1745487269835,低需求,北京-0083,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.203毫秒,beijing_man2
沧州-0013-1745487269835,长时间占用网络资源,沧州-0013,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.204毫秒,cangzhou_man1
北京-0623-1745487269835,低时延,北京-0623,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.206毫秒,beijing_man1
天津-0046-1745487269835,低需求,天津-0046,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.208毫秒,tianjin_man2
北京-0364-1745487269835,长时间占用网络资源,北京-0364,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.209毫秒,beijing_man1
石家-0130-1745487269835,长时间占用网络资源,石家-0130,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.210毫秒,shijiangzhuang_man1
石家-0483-1745487269835,长时间占用网络资源,石家-0483,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.214毫秒,shijiangzhuang_man1
邯郸-0115-1745487269835,长时间占用网络资源,邯郸-0115,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.215毫秒,handan_man1
廊坊-0157-1745487269835,低时延,廊坊-0157,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.217毫秒,langfang_man1
北京-0223-1745487269835,长时间占用网络资源,北京-0223,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.222毫秒,beijing_man2
天津-0609-1745487269835,低需求,天津-0609,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.222毫秒,tianjin_man2
沧州-0297-1745487269835,低需求,沧州-0297,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.222毫秒,cangzhou_man1
保定-0417-1745487269835,长时间占用网络资源,保定-0417,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.223毫秒,baoding_man1
秦皇-0003-1745487269835,长时间占用网络资源,秦皇-0003,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.224毫秒,qhd_man2
石家-0261-1745487269835,长时间占用网络资源,石家-0261,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.225毫秒,shijiangzhuang_man1
邢台-0271-1745487269835,低时延,邢台-0271,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.229毫秒,xingtai_man1
北京-0407-1745487269835,低需求,北京-0407,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.234毫秒,beijing_man2
唐山-0262-1745487269835,低时延,唐山-0262,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.235毫秒,tangshan_man2
廊坊-0120-1745487269835,长时间占用网络资源,廊坊-0120,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.235毫秒,langfang_man1
秦皇-0208-1745487269835,低时延,秦皇-0208,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.235毫秒,qhd_man2
保定-0086-1745487269835,长时间占用网络资源,保定-0086,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.236毫秒,baoding_man1
天津-0587-1745487269835,长时间占用网络资源,天津-0587,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.238毫秒,tianjin_man2
衡水-0026-1745487269835,低需求,衡水-0026,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.240毫秒,hengshui_man1
北京-0751-1745487269835,低需求,北京-0751,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.242毫秒,beijing_man2
廊坊-0226-1745487269835,低需求,廊坊-0226,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.244毫秒,langfang_man1
衡水-0065-1745487269835,低时延,衡水-0065,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.246毫秒,hengshui_man1
秦皇-0402-1745487269835,低时延,秦皇-0402,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.248毫秒,qhd_man2
北京-0449-1745487269835,低时延,北京-0449,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.251毫秒,beijing_man2
张家-0098-1745487269835,低时延,张家-0098,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.252毫秒,zhangjiako_man1
天津-0474-1745487269835,低需求,天津-0474,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.254毫秒,tianjin_man2
廊坊-0184-1745487269835,长时间占用网络资源,廊坊-0184,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.257毫秒,langfang_man1
沧州-0120-1745487269835,低需求,沧州-0120,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.258毫秒,cangzhou_man1
天津-0372-1745487269835,长时间占用网络资源,天津-0372,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.264毫秒,tianjin_man2
石家-0409-1745487269835,长时间占用网络资源,石家-0409,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.264毫秒,shijiangzhuang_man1
承德-0018-1745487269835,低时延,承德-0018,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.266毫秒,chengde_man1
北京-0896-1745487269835,长时间占用网络资源,北京-0896,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.267毫秒,beijing_man1
天津-0310-1745487269835,低时延,天津-0310,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.267毫秒,tianjin_man2
秦皇-0410-1745487269835,长时间占用网络资源,秦皇-0410,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.269毫秒,qhd_man2
石家-0108-1745487269835,长时间占用网络资源,石家-0108,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.270毫秒,shijiangzhuang_man1
天津-0573-1745487269835,长时间占用网络资源,天津-0573,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.272毫秒,tianjin_man1
石家-0152-1745487269835,低需求,石家-0152,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.272毫秒,shijiangzhuang_man1
唐山-0049-1745487269835,低时延,唐山-0049,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.273毫秒,tangshan_man2
秦皇-0145-1745487269835,长时间占用网络资源,秦皇-0145,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.273毫秒,qhd_man2
廊坊-0092-1745487269835,低需求,廊坊-0092,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.279毫秒,langfang_man1
保定-0515-1745487269835,低需求,保定-0515,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.279毫秒,baoding_man1
北京-0670-1745487269835,低时延,北京-0670,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.280毫秒,beijing_man1
衡水-0167-1745487269835,低需求,衡水-0167,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.281毫秒,hengshui_man1
邢台-0287-1745487269835,低时延,邢台-0287,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.289毫秒,xingtai_man1
北京-0998-1745487269835,低时延,北京-0998,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.290毫秒,beijing_man1
廊坊-0076-1745487269835,低需求,廊坊-0076,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.292毫秒,langfang_man1
邢台-0112-1745487269835,长时间占用网络资源,邢台-0112,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.292毫秒,xingtai_man1
沧州-0003-1745487269835,低时延,沧州-0003,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.293毫秒,cangzhou_man1
秦皇-0077-1745487269835,低时延,秦皇-0077,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.297毫秒,qhd_man2
邢台-0117-1745487269835,低需求,邢台-0117,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.300毫秒,xingtai_man1
沧州-0073-1745487269835,低需求,沧州-0073,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.300毫秒,cangzhou_man1
沧州-0117-1745487269835,低需求,沧州-0117,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.301毫秒,cangzhou_man1
秦皇-0220-1745487269835,低时延,秦皇-0220,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.306毫秒,qhd_man2
秦皇-0288-1745487269835,长时间占用网络资源,秦皇-0288,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.308毫秒,qhd_man2
石家-0405-1745487269835,低时延,石家-0405,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.309毫秒,shijiangzhuang_man1
