source_id,dest_id,lantency,AppType
5,20,99.9,1
5,36,56.1,1
5,39,113,1
5,50,110.3,1
5,51,110.3,1
5,52,135.3,1
5,53,140.9,1
5,54,52,1
5,55,52,1
5,60,103,1
5,61,103,1
5,62,125.8,1
5,63,125.8,1
5,64,66.7,1
5,65,66.7,1
5,66,82.3,1
5,67,82.3,1
6,5,80.9,1
6,6,70.9,1
6,7,80.9,1
6,8,80.9,1
6,9,85.9,1
6,10,85.9,1
6,15,84.9,1
6,16,94.5,1
6,17,94.9,1
6,18,94.9,1
6,19,99.9,1
6,20,99.9,1
6,36,56.1,1
6,39,113,1
6,50,105.8,1
6,51,105.8,1
6,52,130.8,1
6,53,136.5,1
6,54,52,1
6,55,52,1
6,60,103,1
6,61,103,1
6,62,125.8,1
6,63,125.8,1
6,64,66.7,1
6,65,66.7,1
6,66,82.3,1
6,67,82.3,1
7,6,53.5,1
7,7,53.5,1
7,8,53.5,1
7,9,58.5,1
7,10,58.5,1
7,24,104.3,1
7,36,80.9,1
7,39,100.8,1
7,48,110.3,1
7,49,105.8,1
7,53,51.7,1
7,54,145.3,1
7,55,145.3,1
7,56,129.3,1
7,57,119.3,1
7,58,80.9,1
7,59,70.9,1
7,60,90.8,1
7,61,90.8,1
7,62,58.2,1
7,63,62.1,1
7,64,58.8,1
7,65,58.8,1
7,66,51.5,1
7,68,106.2,1
7,69,96.2,1
8,6,53.5,1
8,7,53.5,1
8,8,53.5,1
8,9,58.5,1
8,10,58.5,1
8,24,104.3,1
8,36,80.9,1
8,39,100.8,1
8,48,110.3,1
8,49,105.8,1
8,53,51.7,1
8,54,145.3,1
8,55,145.3,1
8,56,129.3,1
8,57,119.3,1
8,58,80.9,1
8,59,70.9,1
8,60,90.8,1
8,61,90.8,1
8,62,58.2,1
8,63,62.1,1
8,64,58.8,1
8,65,58.8,1
8,66,51.5,1
8,68,106.2,1
8,69,96.2,1
9,5,68.5,1
9,6,78.5,1
9,7,78.5,1
9,8,78.5,1
9,9,83.5,1
9,10,83.5,1
9,15,56,1
9,16,60.7,1
9,17,66,1
9,18,66,1
9,19,71,1
9,20,71,1
9,24,129.9,1
9,36,105.9,1
9,39,125.9,1
9,48,135.3,1
9,49,130.8,1
9,54,171,1
9,55,171,1
9,56,154.3,1
9,57,144.3,1
9,58,105.9,1
9,59,95.9,1
9,60,115.9,1
9,61,115.9,1
9,62,83.2,1
9,63,87.1,1
9,64,83.8,1
9,65,83.8,1
9,66,76.5,1
9,67,68.1,1
9,68,131.2,1
9,69,121.2,1
10,5,74.2,1
10,6,84.2,1
10,7,84.2,1
10,8,84.2,1
10,9,89.2,1
10,10,89.2,1
10,15,61.7,1
10,16,65.7,1
10,17,71.7,1
10,18,71.7,1
10,19,76.7,1
10,20,76.7,1
10,24,135.6,1
10,36,111.5,1
10,39,131.5,1
10,48,140.9,1
10,49,136.5,1
10,50,51.7,1
10,51,51.7,1
10,54,176.6,1
10,55,176.6,1
10,56,159.9,1
10,57,149.9,1
10,58,111.5,1
10,59,101.5,1
10,60,121.5,1
10,61,121.5,1
10,62,88.9,1
10,63,92.8,1
10,64,89.5,1
10,65,89.5,1
10,66,82.1,1
10,67,73.7,1
10,68,136.8,1
10,69,126.8,1
11,5,111.9,1
11,6,101.9,1
11,7,111.9,1
11,8,111.9,1
11,9,116.9,1
11,10,116.9,1
11,15,115.9,1
11,16,125.5,1
11,17,125.9,1
11,18,125.9,1
11,19,130.9,1
11,20,130.9,1
11,36,87.2,1
11,39,144,1
11,48,52,1
11,49,52,1
11,50,145.3,1
11,51,145.3,1
11,52,171,1
11,53,176.6,1
11,56,72,1
11,57,72,1
11,58,77.2,1
11,59,77.2,1
11,60,134,1
11,61,134,1
11,62,156.8,1
11,63,156.8,1
11,64,97.7,1
11,65,97.7,1
11,66,113.3,1
11,67,113.3,1
11,68,71.8,1
11,69,71.8,1
12,5,111.9,1
12,6,101.9,1
12,7,111.9,1
12,8,111.9,1
12,9,116.9,1
12,10,116.9,1
12,15,115.9,1
12,16,125.5,1
12,17,125.9,1
12,18,125.9,1
12,19,130.9,1
12,20,130.9,1
12,36,87.2,1
12,39,144,1
12,48,52,1
12,49,52,1
12,50,145.3,1
12,51,145.3,1
12,52,171,1
12,53,176.6,1
12,56,72,1
12,57,72,1
12,58,77.2,1
12,59,77.2,1
12,60,134,1
12,61,134,1
12,62,156.8,1
12,63,156.8,1
12,64,97.7,1
12,65,97.7,1
12,66,113.3,1
12,67,113.3,1
12,68,71.8,1
12,69,71.8,1
13,5,100.9,1
13,6,90.9,1
13,7,100.9,1
13,8,100.9,1
13,9,105.9,1
13,10,105.9,1
13,15,105,1
13,16,114.5,1
13,17,115,1
13,18,115,1
13,19,120,1
13,20,120,1
13,36,76.2,1
13,39,133,1
13,50,129.3,1
13,51,129.3,1
13,52,154.3,1
13,53,159.9,1
13,54,72,1
13,55,72,1
13,58,66.2,1
13,59,66.2,1
13,60,123,1
13,61,123,1
13,62,145.8,1
13,63,145.8,1
13,64,86.7,1
13,65,86.7,1
13,66,102.3,1
13,67,102.3,1
13,68,60.8,1
13,69,60.8,1
14,5,100.9,1
14,6,90.9,1
14,7,100.9,1
14,8,100.9,1
14,9,105.9,1
14,10,105.9,1
14,15,105,1
14,16,114.5,1
14,17,115,1
14,18,115,1
14,19,120,1
14,20,120,1
14,36,76.2,1
14,39,133,1
14,50,119.3,1
14,51,119.3,1
14,52,144.3,1
14,53,149.9,1
14,54,72,1
14,55,72,1
14,58,66.2,1
14,59,66.2,1
14,60,123,1
14,61,123,1
14,62,145.8,1
14,63,145.8,1
14,64,86.7,1
14,65,86.7,1
14,66,102.3,1
14,67,102.3,1
14,68,60.8,1
14,69,60.8,1
15,5,103.4,1
15,6,96,1
15,7,106,1
15,8,106,1
15,9,111,1
15,10,111,1
15,15,90.9,1
15,16,95.6,1
15,17,100.9,1
15,18,100.9,1
15,19,105.9,1
15,20,105.9,1
15,39,138.2,1
15,50,80.9,1
15,51,80.9,1
15,52,105.9,1
15,53,111.5,1
15,54,77.2,1
15,55,77.2,1
15,56,66.2,1
15,57,66.2,1
15,60,128.2,1
15,61,128.2,1
15,62,118.1,1
15,63,122,1
15,64,91.8,1
15,65,91.8,1
15,66,107.4,1
15,67,103,1
15,68,65.9,1
15,69,65.9,1
16,5,93.4,1
16,6,96,1
16,7,103.4,1
16,8,103.4,1
16,9,108.4,1
16,10,108.4,1
16,15,80.9,1
16,16,85.6,1
16,17,90.9,1
16,18,90.9,1
16,19,95.9,1
16,20,95.9,1
16,39,138.2,1
16,50,70.9,1
16,51,70.9,1
16,52,95.9,1
16,53,101.5,1
16,54,77.2,1
16,55,77.2,1
16,56,66.2,1
16,57,66.2,1
16,60,128.2,1
16,61,128.2,1
16,62,108.1,1
16,63,112,1
16,64,91.8,1
16,65,91.8,1
16,66,101.3,1
16,67,93,1
16,68,65.9,1
16,69,65.9,1
17,7,58.3,1
17,8,58.3,1
17,9,63.3,1
17,10,63.3,1
17,15,73,1
17,16,83,1
17,17,83,1
17,18,83,1
17,19,88,1
17,20,88,1
17,24,93,1
17,36,138.2,1
17,48,103,1
17,49,103,1
17,50,90.8,1
17,51,90.8,1
17,52,115.9,1
17,53,121.5,1
17,54,134,1
17,55,134,1
17,56,123,1
17,57,123,1
17,58,128.2,1
17,59,128.2,1
17,62,103.2,1
17,63,103.2,1
17,64,100.8,1
17,65,100.8,1
17,66,62,1
17,67,62,1
17,68,122.8,1
17,69,122.8,1
18,7,58.3,1
18,8,58.3,1
18,9,63.3,1
18,10,63.3,1
18,15,73,1
18,16,83,1
18,17,83,1
18,18,83,1
18,19,88,1
18,20,88,1
18,24,93,1
18,36,138.2,1
18,48,103,1
18,49,103,1
18,50,90.8,1
18,51,90.8,1
18,52,115.9,1
18,53,121.5,1
18,54,134,1
18,55,134,1
18,56,123,1
18,57,123,1
18,58,128.2,1
18,59,128.2,1
18,62,103.2,1
18,63,103.2,1
18,64,100.8,1
18,65,100.8,1
18,66,62,1
18,67,62,1
18,68,122.8,1
18,69,122.8,1
19,5,55.9,1
19,6,55.9,1
19,7,65.9,1
19,8,65.9,1
19,9,70.9,1
19,10,70.9,1
19,15,68.2,1
19,16,72.9,1
19,17,78.2,1
19,18,78.2,1
19,19,83.2,1
19,20,83.2,1
19,24,115.8,1
19,36,118.1,1
19,39,113.2,1
19,48,125.8,1
19,49,125.8,1
19,50,58.2,1
19,51,58.2,1
19,52,83.2,1
19,53,88.9,1
19,54,156.8,1
19,55,156.8,1
19,56,145.8,1
19,57,145.8,1
19,58,118.1,1
19,59,108.1,1
19,60,103.2,1
19,61,103.2,1
19,64,96,1
19,65,96,1
19,66,69.6,1
19,67,69.6,1
19,68,143.4,1
19,69,133.4,1
20,5,55.9,1
20,6,55.9,1
20,7,65.9,1
20,8,65.9,1
20,9,70.9,1
20,10,70.9,1
20,15,72.1,1
20,16,76.8,1
20,17,82.1,1
20,18,82.1,1
20,19,87.1,1
20,20,87.1,1
20,24,115.8,1
20,36,122,1
20,39,113.2,1
20,48,125.8,1
20,49,125.8,1
20,50,62.1,1
20,51,62.1,1
20,52,87.1,1
20,53,92.8,1
20,54,156.8,1
20,55,156.8,1
20,56,145.8,1
20,57,145.8,1
20,58,122,1
20,59,112,1
20,60,103.2,1
20,61,103.2,1
20,64,99.9,1
20,65,99.9,1
20,66,69.6,1
20,67,69.6,1
20,68,145.6,1
20,69,137.3,1
21,5,53.4,1
21,6,57.5,1
21,7,63.4,1
21,8,63.4,1
21,9,68.4,1
21,10,68.4,1
21,24,56.7,1
21,36,101.8,1
21,39,110.8,1
21,48,66.7,1
21,49,66.7,1
21,50,58.8,1
21,51,58.8,1
21,52,83.8,1
21,53,89.5,1
21,54,97.7,1
21,55,97.7,1
21,56,86.7,1
21,57,86.7,1
21,58,91.8,1
21,59,91.8,1
21,60,100.8,1
21,61,100.8,1
21,62,96,1
21,63,99.9,1
21,66,67.1,1
21,67,67.1,1
21,68,86.4,1
21,69,86.4,1
22,5,53.4,1
22,6,57.5,1
22,7,63.4,1
22,8,63.4,1
22,9,68.4,1
22,10,68.4,1
22,24,56.7,1
22,36,101.8,1
22,39,110.8,1
22,48,66.7,1
22,49,66.7,1
22,50,58.8,1
22,51,58.8,1
22,52,83.8,1
22,53,89.5,1
22,54,97.7,1
22,55,97.7,1
22,56,86.7,1
22,57,86.7,1
22,58,91.8,1
22,59,91.8,1
22,60,100.8,1
22,61,100.8,1
22,62,96,1
22,63,99.9,1
22,66,67.1,1
22,67,67.1,1
22,68,86.4,1
22,69,86.4,1
23,19,54.3,1
23,20,54.3,1
23,24,72.3,1
23,36,111.3,1
23,39,72,1
23,48,82.3,1
23,49,82.3,1
23,50,51.5,1
23,51,51.5,1
23,52,76.5,1
23,53,82.1,1
23,54,113.3,1
23,55,113.3,1
23,56,102.3,1
23,57,102.3,1
23,58,107.4,1
23,59,101.3,1
23,60,62,1
23,61,62,1
23,62,69.6,1
23,63,69.6,1
23,64,67.1,1
23,65,67.1,1
23,68,102.1,1
23,69,102.1,1
24,19,54.3,1
24,20,54.3,1
24,24,72.3,1
24,36,103,1
24,39,72,1
24,48,82.3,1
24,49,82.3,1
24,52,68.1,1
24,53,73.7,1
24,54,113.3,1
24,55,113.3,1
24,56,102.3,1
24,57,102.3,1
24,58,103,1
24,59,93,1
24,60,62,1
24,61,62,1
24,62,69.6,1
24,63,69.6,1
24,64,67.1,1
24,65,67.1,1
24,68,102.1,1
24,69,102.1,1
25,5,100.7,1
25,6,90.7,1
25,7,100.7,1
25,8,100.7,1
25,9,105.7,1
25,10,105.7,1
25,15,104.7,1
25,16,114.2,1
25,17,114.7,1
25,18,114.7,1
25,19,119.7,1
25,20,119.7,1
25,36,75.9,1
25,39,132.8,1
25,50,106.2,1
25,51,106.2,1
25,52,131.2,1
25,53,136.8,1
25,54,71.8,1
25,55,71.8,1
25,56,60.8,1
25,57,60.8,1
25,58,65.9,1
25,59,65.9,1
25,60,122.8,1
25,61,122.8,1
25,62,143.4,1
25,63,145.6,1
25,64,86.4,1
25,65,86.4,1
25,66,102.1,1
25,67,102.1,1
26,5,100.7,1
26,6,90.7,1
26,7,100.7,1
26,8,100.7,1
26,9,105.7,1
26,10,105.7,1
26,15,104.7,1
26,16,110.9,1
26,17,114.7,1
26,18,114.7,1
26,19,119.7,1
26,20,119.7,1
26,36,75.9,1
26,39,132.8,1
26,50,96.2,1
26,51,96.2,1
26,52,121.2,1
26,53,126.8,1
26,54,71.8,1
26,55,71.8,1
26,56,60.8,1
26,57,60.8,1
26,58,65.9,1
26,59,65.9,1
26,60,122.8,1
26,61,122.8,1
26,62,133.4,1
26,63,137.3,1
26,64,86.4,1
26,65,86.4,1
26,66,102.1,1
26,67,102.1,1
1,24,70.9,2
1,36,113.4,2
1,39,68.3,2
1,48,80.9,2
1,49,80.9,2
1,52,78.5,2
1,53,84.2,2
1,54,111.9,2
1,55,111.9,2
1,56,100.9,2
1,57,100.9,2
1,58,106,2
1,59,103.4,2
1,62,65.9,2
1,63,65.9,2
1,64,63.4,2
1,65,63.4,2
1,68,100.7,2
1,69,100.7,2
2,24,70.9,2
2,36,113.4,2
2,39,68.3,2
2,48,80.9,2
2,49,80.9,2
2,52,78.5,2
2,53,84.2,2
2,54,111.9,2
2,55,111.9,2
2,56,100.9,2
2,57,100.9,2
2,58,106,2
2,59,103.4,2
2,62,65.9,2
2,63,65.9,2
2,64,63.4,2
2,65,63.4,2
2,68,100.7,2
2,69,100.7,2
3,24,84.9,2
3,36,100.9,2
3,39,93,2
3,48,94.9,2
3,49,94.9,2
3,52,66,2
3,53,71.7,2
3,54,125.9,2
3,55,125.9,2
3,56,115,2
3,57,115,2
3,58,100.9,2
3,59,90.9,2
3,60,83,2
3,61,83,2
3,62,78.2,2
3,63,82.1,2
3,68,114.7,2
3,69,114.7,2
4,24,84.9,2
4,36,100.9,2
4,39,93,2
4,48,94.9,2
4,49,94.9,2
4,52,66,2
4,53,71.7,2
4,54,125.9,2
4,55,125.9,2
4,56,115,2
4,57,115,2
4,58,100.9,2
4,59,90.9,2
4,60,83,2
4,61,83,2
4,62,78.2,2
4,63,82.1,2
4,68,114.7,2
4,69,114.7,2
5,5,80.9,2
5,6,70.9,2
5,7,80.9,2
5,8,80.9,2
5,9,85.9,2
5,10,85.9,2
5,15,84.9,2
5,16,94.5,2
5,17,94.9,2
5,18,94.9,2
5,19,99.9,2
5,20,99.9,2
5,39,113,2
5,50,110.3,2
5,51,110.3,2
5,52,135.3,2
5,53,140.9,2
5,60,103,2
5,61,103,2
5,62,125.8,2
5,63,125.8,2
5,64,66.7,2
5,65,66.7,2
5,66,82.3,2
5,67,82.3,2
6,5,80.9,2
6,6,70.9,2
6,7,80.9,2
6,8,80.9,2
6,9,85.9,2
6,10,85.9,2
6,15,84.9,2
6,16,94.5,2
6,17,94.9,2
6,18,94.9,2
6,19,99.9,2
6,20,99.9,2
6,39,113,2
6,50,105.8,2
6,51,105.8,2
6,52,130.8,2
6,53,136.5,2
6,60,103,2
6,61,103,2
6,62,125.8,2
6,63,125.8,2
6,64,66.7,2
6,65,66.7,2
6,66,82.3,2
6,67,82.3,2
7,24,104.3,2
7,36,80.9,2
7,39,100.8,2
7,48,110.3,2
7,49,105.8,2
7,54,145.3,2
7,55,145.3,2
7,56,129.3,2
7,57,119.3,2
7,58,80.9,2
7,59,70.9,2
7,60,90.8,2
7,61,90.8,2
7,63,62.1,2
7,68,106.2,2
7,69,96.2,2
8,24,104.3,2
8,36,80.9,2
8,39,100.8,2
8,48,110.3,2
8,49,105.8,2
8,54,145.3,2
8,55,145.3,2
8,56,129.3,2
8,57,119.3,2
8,58,80.9,2
8,59,70.9,2
8,60,90.8,2
8,61,90.8,2
8,63,62.1,2
8,68,106.2,2
8,69,96.2,2
9,5,68.5,2
9,6,78.5,2
9,7,78.5,2
9,8,78.5,2
9,9,83.5,2
9,10,83.5,2
9,16,60.7,2
9,17,66,2
9,18,66,2
9,19,71,2
9,20,71,2
9,24,129.9,2
9,36,105.9,2
9,39,125.9,2
9,48,135.3,2
9,49,130.8,2
9,54,171,2
9,55,171,2
9,56,154.3,2
9,57,144.3,2
9,58,105.9,2
9,59,95.9,2
9,60,115.9,2
9,61,115.9,2
9,62,83.2,2
9,63,87.1,2
9,64,83.8,2
9,65,83.8,2
9,66,76.5,2
9,67,68.1,2
9,68,131.2,2
9,69,121.2,2
10,5,74.2,2
10,6,84.2,2
10,7,84.2,2
10,8,84.2,2
10,9,89.2,2
10,10,89.2,2
10,15,61.7,2
10,16,65.7,2
10,17,71.7,2
10,18,71.7,2
10,19,76.7,2
10,20,76.7,2
10,24,135.6,2
10,36,111.5,2
10,39,131.5,2
10,48,140.9,2
10,49,136.5,2
10,54,176.6,2
10,55,176.6,2
10,56,159.9,2
10,57,149.9,2
10,58,111.5,2
10,59,101.5,2
10,60,121.5,2
10,61,121.5,2
10,62,88.9,2
10,63,92.8,2
10,64,89.5,2
10,65,89.5,2
10,66,82.1,2
10,67,73.7,2
10,68,136.8,2
10,69,126.8,2
11,5,111.9,2
11,6,101.9,2
11,7,111.9,2
11,8,111.9,2
11,9,116.9,2
11,10,116.9,2
11,15,115.9,2
11,16,125.5,2
11,17,125.9,2
11,18,125.9,2
11,19,130.9,2
11,20,130.9,2
11,36,87.2,2
11,39,144,2
11,50,145.3,2
11,51,145.3,2
11,52,171,2
11,53,176.6,2
11,56,72,2
11,57,72,2
11,58,77.2,2
11,59,77.2,2
11,60,134,2
11,61,134,2
11,62,156.8,2
11,63,156.8,2
11,64,97.7,2
11,65,97.7,2
11,66,113.3,2
11,67,113.3,2
11,68,71.8,2
11,69,71.8,2
12,5,111.9,2
12,6,101.9,2
12,7,111.9,2
12,8,111.9,2
12,9,116.9,2
12,10,116.9,2
12,15,115.9,2
12,16,125.5,2
12,17,125.9,2
12,18,125.9,2
12,19,130.9,2
12,20,130.9,2
12,36,87.2,2
12,39,144,2
12,50,145.3,2
12,51,145.3,2
12,52,171,2
12,53,176.6,2
12,56,72,2
12,57,72,2
12,58,77.2,2
12,59,77.2,2
12,60,134,2
12,61,134,2
12,62,156.8,2
12,63,156.8,2
12,64,97.7,2
12,65,97.7,2
12,66,113.3,2
12,67,113.3,2
12,68,71.8,2
12,69,71.8,2
13,5,100.9,2
13,6,90.9,2
13,7,100.9,2
13,8,100.9,2
13,9,105.9,2
13,10,105.9,2
13,15,105,2
13,16,114.5,2
13,17,115,2
13,18,115,2
13,19,120,2
13,20,120,2
13,36,76.2,2
13,39,133,2
13,50,129.3,2
13,51,129.3,2
13,52,154.3,2
13,53,159.9,2
13,54,72,2
13,55,72,2
13,58,66.2,2
13,59,66.2,2
13,60,123,2
13,61,123,2
13,62,145.8,2
13,63,145.8,2
13,64,86.7,2
13,65,86.7,2
13,66,102.3,2
13,67,102.3,2
13,68,60.8,2
13,69,60.8,2
14,5,100.9,2
14,6,90.9,2
14,7,100.9,2
14,8,100.9,2
14,9,105.9,2
14,10,105.9,2
14,15,105,2
14,16,114.5,2
14,17,115,2
14,18,115,2
14,19,120,2
14,20,120,2
14,36,76.2,2
14,39,133,2
14,50,119.3,2
14,51,119.3,2
14,52,144.3,2
14,53,149.9,2
14,54,72,2
14,55,72,2
14,58,66.2,2
14,59,66.2,2
14,60,123,2
14,61,123,2
14,62,145.8,2
14,63,145.8,2
14,64,86.7,2
14,65,86.7,2
14,66,102.3,2
14,67,102.3,2
14,68,60.8,2
14,69,60.8,2
15,5,103.4,2
15,6,96,2
15,7,106,2
15,8,106,2
15,9,111,2
15,10,111,2
15,15,90.9,2
15,16,95.6,2
15,17,100.9,2
15,18,100.9,2
15,19,105.9,2
15,20,105.9,2
15,39,138.2,2
15,50,80.9,2
15,51,80.9,2
15,52,105.9,2
15,53,111.5,2
15,54,77.2,2
15,55,77.2,2
15,56,66.2,2
15,57,66.2,2
15,60,128.2,2
15,61,128.2,2
15,62,118.1,2
15,63,122,2
15,64,91.8,2
15,65,91.8,2
15,66,107.4,2
15,67,103,2
15,68,65.9,2
15,69,65.9,2
16,5,93.4,2
16,6,96,2
16,7,103.4,2
16,8,103.4,2
16,9,108.4,2
16,10,108.4,2
16,15,80.9,2
16,16,85.6,2
16,17,90.9,2
16,18,90.9,2
16,19,95.9,2
16,20,95.9,2
16,39,138.2,2
16,50,70.9,2
16,51,70.9,2
16,52,95.9,2
16,53,101.5,2
16,54,77.2,2
16,55,77.2,2
16,56,66.2,2
16,57,66.2,2
16,60,128.2,2
16,61,128.2,2
16,62,108.1,2
16,63,112,2
16,64,91.8,2
16,65,91.8,2
16,66,101.3,2
16,67,93,2
16,68,65.9,2
16,69,65.9,2
17,9,63.3,2
17,10,63.3,2
17,15,73,2
17,16,83,2
17,17,83,2
17,18,83,2
17,19,88,2
17,20,88,2
17,24,93,2
17,36,138.2,2
17,48,103,2
17,49,103,2
17,50,90.8,2
17,51,90.8,2
17,52,115.9,2
17,53,121.5,2
17,54,134,2
17,55,134,2
17,56,123,2
17,57,123,2
17,58,128.2,2
17,59,128.2,2
17,62,103.2,2
17,63,103.2,2
17,64,100.8,2
17,65,100.8,2
17,66,62,2
17,67,62,2
17,68,122.8,2
17,69,122.8,2
18,9,63.3,2
18,10,63.3,2
18,15,73,2
18,16,83,2
18,17,83,2
18,18,83,2
18,19,88,2
18,20,88,2
18,24,93,2
18,36,138.2,2
18,48,103,2
18,49,103,2
18,50,90.8,2
18,51,90.8,2
18,52,115.9,2
18,53,121.5,2
18,54,134,2
18,55,134,2
18,56,123,2
18,57,123,2
18,58,128.2,2
18,59,128.2,2
18,62,103.2,2
18,63,103.2,2
18,64,100.8,2
18,65,100.8,2
18,66,62,2
18,67,62,2
18,68,122.8,2
18,69,122.8,2
19,7,65.9,2
19,8,65.9,2
19,9,70.9,2
19,10,70.9,2
19,15,68.2,2
19,16,72.9,2
19,17,78.2,2
19,18,78.2,2
19,19,83.2,2
19,20,83.2,2
19,24,115.8,2
19,36,118.1,2
19,39,113.2,2
19,48,125.8,2
19,49,125.8,2
19,52,83.2,2
19,53,88.9,2
19,54,156.8,2
19,55,156.8,2
19,56,145.8,2
19,57,145.8,2
19,58,118.1,2
19,59,108.1,2
19,60,103.2,2
19,61,103.2,2
19,64,96,2
19,65,96,2
19,66,69.6,2
19,67,69.6,2
19,68,143.4,2
19,69,133.4,2
20,7,65.9,2
20,8,65.9,2
20,9,70.9,2
20,10,70.9,2
20,15,72.1,2
20,16,76.8,2
20,17,82.1,2
20,18,82.1,2
20,19,87.1,2
20,20,87.1,2
20,24,115.8,2
20,36,122,2
20,39,113.2,2
20,48,125.8,2
20,49,125.8,2
20,50,62.1,2
20,51,62.1,2
20,52,87.1,2
20,53,92.8,2
20,54,156.8,2
20,55,156.8,2
20,56,145.8,2
20,57,145.8,2
20,58,122,2
20,59,112,2
20,60,103.2,2
20,61,103.2,2
20,64,99.9,2
20,65,99.9,2
20,66,69.6,2
20,67,69.6,2
20,68,145.6,2
20,69,137.3,2
21,7,63.4,2
21,8,63.4,2
21,9,68.4,2
21,10,68.4,2
21,36,101.8,2
21,39,110.8,2
21,48,66.7,2
21,49,66.7,2
21,52,83.8,2
21,53,89.5,2
21,54,97.7,2
21,55,97.7,2
21,56,86.7,2
21,57,86.7,2
21,58,91.8,2
21,59,91.8,2
21,60,100.8,2
21,61,100.8,2
21,62,96,2
21,63,99.9,2
21,66,67.1,2
21,67,67.1,2
21,68,86.4,2
21,69,86.4,2
22,7,63.4,2
22,8,63.4,2
22,9,68.4,2
22,10,68.4,2
22,36,101.8,2
22,39,110.8,2
22,48,66.7,2
22,49,66.7,2
22,52,83.8,2
22,53,89.5,2
22,54,97.7,2
22,55,97.7,2
22,56,86.7,2
22,57,86.7,2
22,58,91.8,2
22,59,91.8,2
22,60,100.8,2
22,61,100.8,2
22,62,96,2
22,63,99.9,2
22,66,67.1,2
22,67,67.1,2
22,68,86.4,2
22,69,86.4,2
23,24,72.3,2
23,36,111.3,2
23,39,72,2
23,48,82.3,2
23,49,82.3,2
23,52,76.5,2
23,53,82.1,2
23,54,113.3,2
23,55,113.3,2
23,56,102.3,2
23,57,102.3,2
23,58,107.4,2
23,59,101.3,2
23,60,62,2
23,61,62,2
23,62,69.6,2
23,63,69.6,2
23,64,67.1,2
23,65,67.1,2
23,68,102.1,2
23,69,102.1,2
24,24,72.3,2
24,36,103,2
24,39,72,2
24,48,82.3,2
24,49,82.3,2
24,52,68.1,2
24,53,73.7,2
24,54,113.3,2
24,55,113.3,2
24,56,102.3,2
24,57,102.3,2
24,58,103,2
24,59,93,2
24,60,62,2
24,61,62,2
24,62,69.6,2
24,63,69.6,2
24,64,67.1,2
24,65,67.1,2
24,68,102.1,2
24,69,102.1,2
25,5,100.7,2
25,6,90.7,2
25,7,100.7,2
25,8,100.7,2
25,9,105.7,2
25,10,105.7,2
25,15,104.7,2
25,16,114.2,2
25,17,114.7,2
25,18,114.7,2
25,19,119.7,2
25,20,119.7,2
25,36,75.9,2
25,39,132.8,2
25,50,106.2,2
25,51,106.2,2
25,52,131.2,2
25,53,136.8,2
25,54,71.8,2
25,55,71.8,2
25,56,60.8,2
25,57,60.8,2
25,58,65.9,2
25,59,65.9,2
25,60,122.8,2
25,61,122.8,2
25,62,143.4,2
25,63,145.6,2
25,64,86.4,2
25,65,86.4,2
25,66,102.1,2
25,67,102.1,2
26,5,100.7,2
26,6,90.7,2
26,7,100.7,2
26,8,100.7,2
26,9,105.7,2
26,10,105.7,2
26,15,104.7,2
26,16,110.9,2
26,17,114.7,2
26,18,114.7,2
26,19,119.7,2
26,20,119.7,2
26,36,75.9,2
26,39,132.8,2
26,50,96.2,2
26,51,96.2,2
26,52,121.2,2
26,53,126.8,2
26,54,71.8,2
