Task ID,Net Device ID,Request Size,Task Length,Max Latency,Task Type,Delay Margin
1190,qhd_man2,10,100,10,1,9.868076307977516
1732,shijiangzhuang_man1,10,100,10,1,9.868078665687412
1483,beijing_man2,10,100,10,1,9.868079834541748
264,hengshui_man1,10,100,10,1,9.868091477992602
1543,zhangjiako_man1,10,100,10,1,9.868103034940649
1544,chengde_man1,10,100,10,1,9.86810450766267
465,chengde_man1,10,100,10,1,9.868107176524234
75,chengde_man1,10,100,10,1,9.868121541309595
1436,handan_man2,10,100,10,1,9.868129658667478
1365,xingtai_man1,10,100,10,1,9.868141437270301
1396,tangshan_man2,10,100,10,1,9.868161087684765
1674,chengde_man1,10,100,10,1,9.868174985708789
1148,hengshui_man2,10,100,10,1,9.868179691731095
1260,cangzhou_man1,10,100,10,1,9.868213961946246
72,qhd_man1,10,100,10,1,9.868226082727691
649,cangzhou_man1,10,100,10,1,9.868236161784548
824,tangshan_man2,10,100,10,1,9.868243588711907
1356,hengshui_man2,10,100,10,1,9.86824921577963
839,qhd_man2,10,100,10,1,9.868264123529901
1616,hengshui_man1,10,100,10,1,9.868274475665094
1577,hengshui_man1,10,100,10,1,9.86830177460277
114,chengde_man1,10,100,10,1,9.868309897682925
831,cangzhou_man1,10,100,10,1,9.868333348105777
802,zhangjiako_man2,10,100,10,1,9.86835413215841
651,beijing_man1,10,100,10,1,9.868357790898429
1140,zhangjiako_man1,10,100,10,1,9.868365295707736
1245,chengde_man1,10,100,10,1,9.868367733329555
308,zhangjiako_man1,10,100,10,1,9.868380249908084
653,shijiangzhuang_man1,10,100,10,1,9.868384648776528
1772,hengshui_man1,10,100,10,1,9.868427964951215
145,tianjin_man2,10,100,10,1,9.868443491029748
841,zhangjiako_man2,10,100,10,1,9.86844378563605
1737,baoding_man2,10,100,10,1,9.868445710612598
1202,handan_man1,10,100,10,1,9.868497343936108
1773,tangshan_man2,10,100,10,1,9.868499008872956
1619,qhd_man1,10,100,10,1,9.868512120889706
523,shijiangzhuang_man1,10,100,10,1,9.868514837002998
160,hengshui_man1,10,100,10,1,9.868523827499821
1179,zhangjiako_man1,10,100,10,1,9.868534610727446
63,langfang_man1,10,100,10,1,9.868540014319745
1903,tangshan_man1,10,100,10,1,9.868560834910554
194,cangzhou_man1,10,100,10,1,9.868577653504435
389,cangzhou_man1,10,100,10,1,9.868606355960514
168,cangzhou_man1,10,100,10,1,9.868611917311327
1828,baoding_man1,10,100,10,1,9.868614116276051
421,tangshan_man2,10,100,10,1,9.868616352469083
15,tianjin_man2,10,100,10,1,9.868617267643137
1726,chengde_man1,10,100,10,1,9.868631074206922
343,tangshan_man2,10,100,10,1,9.868642772342302
353,tianjin_man2,10,100,10,1,9.868665691937373
1767,cangzhou_man1,10,100,10,1,9.86869483383488
951,tianjin_man2,10,100,10,1,9.868704623627373
1919,baoding_man2,10,100,10,1,9.868705483491315
1111,handan_man1,10,100,10,1,9.868708672826372
1695,tangshan_man2,10,100,10,1,9.868709302692803
323,langfang_man1,10,100,10,1,9.868710997845765
1563,shijiangzhuang_man1,10,100,10,1,9.868714320848376
40,beijing_man2,10,100,10,1,9.868719447945326
1661,chengde_man1,10,100,10,1,9.868728663583989
561,tianjin_man2,10,100,10,1,9.868731542080596
1743,beijing_man2,10,100,10,1,9.868749186396334
1998,zhangjiako_man1,10,100,10,1,9.868788878502091
1091,cangzhou_man1,10,100,10,1,9.86879220271777
1400,zhangjiako_man1,10,100,10,1,9.868796267632224
761,qhd_man2,10,100,10,1,9.86880741239366
674,langfang_man1,10,100,10,1,9.868816418410196
1778,chengde_man1,10,100,10,1,9.868818425034693
1109,hengshui_man2,10,100,10,1,9.868822954252746
1265,hengshui_man2,10,100,10,1,9.868823428634675
324,cangzhou_man1,10,100,10,1,9.868837731345005
820,beijing_man1,10,100,10,1,9.868845667652717
192,chengde_man1,10,100,10,1,9.86885591295717
380,shijiangzhuang_man1,10,100,10,1,9.868860056895716
70,tangshan_man1,10,100,10,1,9.868868380136986
724,zhangjiako_man1,10,100,10,1,9.868878357297048
1246,langfang_man1,10,100,10,1,9.868879196941952
1087,baoding_man2,10,100,10,1,9.868885330152533
588,shijiangzhuang_man1,10,100,10,1,9.868889280385266
799,handan_man1,10,100,10,1,9.868929572564545
146,shijiangzhuang_man1,10,100,10,1,9.868932706339947
1316,shijiangzhuang_man1,10,100,10,1,9.86893430252378
243,zhangjiako_man2,10,100,10,1,9.868942532666367
1403,cangzhou_man1,10,100,10,1,9.868949136665847
1149,tangshan_man2,10,100,10,1,9.868963774199873
533,xingtai_man1,10,100,10,1,9.86896646954755
127,chengde_man1,10,100,10,1,9.86896957454602
1823,shijiangzhuang_man1,10,100,10,1,9.868988191570883
1974,langfang_man1,10,100,10,1,9.868997423813106
717,tianjin_man2,10,100,10,1,9.869008851429482
30,hengshui_man2,10,100,10,1,9.869018547123051
1075,zhangjiako_man1,10,100,10,1,9.869019677433108
1470,beijing_man2,10,100,10,1,9.86904109548322
18,tangshan_man1,10,100,10,1,9.869053899607458
206,langfang_man1,10,100,10,1,9.869059001362174
59,qhd_man2,10,100,10,1,9.8690698533398
913,shijiangzhuang_man1,10,100,10,1,9.869080988756336
1971,baoding_man2,10,100,10,1,9.869108652109778
93,tianjin_man2,10,100,10,1,9.869131854881847
570,langfang_man1,10,100,10,1,9.869132244784401
396,handan_man1,10,100,10,1,9.86914197188692
1456,xingtai_man1,10,100,10,1,9.869157608125587
1492,chengde_man1,10,100,10,1,9.869164372770447
997,zhangjiako_man1,10,100,10,1,9.869193822998495
573,beijing_man2,10,100,10,1,9.869207477263807
1168,langfang_man1,10,100,10,1,9.869209340611647
707,tangshan_man1,10,100,10,1,9.8692114104763
47,baoding_man1,10,100,10,1,9.869216411600886
1322,zhangjiako_man1,10,100,10,1,9.869222073126814
755,beijing_man1,10,100,10,1,9.869257253697874
1150,handan_man2,10,100,10,1,9.869273488477434
1037,chengde_man1,10,100,10,1,9.86931530471897
1271,chengde_man1,10,100,10,1,9.869319596811584
748,qhd_man1,10,100,10,1,9.869319688598269
1958,baoding_man1,10,100,10,1,9.869322725285198
1441,langfang_man1,10,100,10,1,9.869352786098952
1068,tianjin_man2,10,100,10,1,9.869362311739994
1294,qhd_man1,10,100,10,1,9.869364143971993
1617,tangshan_man2,10,100,10,1,9.869387629786061
1303,shijiangzhuang_man1,10,100,10,1,9.869388609458621
976,beijing_man1,10,100,10,1,9.869396561655432
1053,xingtai_man1,10,100,10,1,9.869424267896663
1895,chengde_man1,10,100,10,1,9.869432773547766
1391,xingtai_man1,10,100,10,1,9.869461578631165
494,xingtai_man1,10,100,10,1,9.86946234985436
1777,zhangjiako_man1,10,100,10,1,9.869469593150106
1688,langfang_man1,10,100,10,1,9.869470993033985
958,zhangjiako_man1,10,100,10,1,9.869486452789642
1165,baoding_man1,10,100,10,1,9.869490336278046
597,cangzhou_man1,10,100,10,1,9.869493260817364
1809,tianjin_man2,10,100,10,1,9.86949440227822
793,xingtai_man1,10,100,10,1,9.869502958745395
1195,cangzhou_man1,10,100,10,1,9.869504895993007
196,beijing_man2,10,100,10,1,9.86951544014941
1099,qhd_man1,10,100,10,1,9.869525142904527
821,tianjin_man2,10,100,10,1,9.869534185223136
1302,tianjin_man2,10,100,10,1,9.86955653423596
1842,zhangjiako_man1,10,100,10,1,9.869566255430337
1504,zhangjiako_man1,10,100,10,1,9.86957727884441
1172,tianjin_man2,10,100,10,1,9.869608279701
686,chengde_man1,10,100,10,1,9.869610955197608
1966,shijiangzhuang_man1,10,100,10,1,9.869617733007692
874,shijiangzhuang_man1,10,100,10,1,9.869631259068502
1163,handan_man1,10,100,10,1,9.86963334947586
221,xingtai_man1,10,100,10,1,9.86963484966521
409,handan_man1,10,100,10,1,9.869647115022765
1764,zhangjiako_man1,10,100,10,1,9.869647634878959
1008,qhd_man2,10,100,10,1,9.86967122330102
1015,beijing_man2,10,100,10,1,9.86967990293392
1788,qhd_man1,10,100,10,1,9.869681120871824
813,qhd_man2,10,100,10,1,9.869681671133755
6,handan_man1,10,100,10,1,9.869684799491113
1433,shijiangzhuang_man1,10,100,10,1,9.869689479808235
1865,handan_man2,10,100,10,1,9.869692576924193
1938,beijing_man2,10,100,10,1,9.869695853419902
1673,zhangjiako_man2,10,100,10,1,9.86969887567527
1283,zhangjiako_man1,10,100,10,1,9.869699534051382
1981,tangshan_man2,10,100,10,1,9.869707561211845
1469,xingtai_man1,10,100,10,1,9.869739252692522
1722,handan_man1,10,100,10,1,9.869742302302676
388,langfang_man1,10,100,10,1,9.869773603229778
624,xingtai_man1,10,100,10,1,9.869794392650538
188,handan_man1,10,100,10,1,9.869805251621283
1856,chengde_man1,10,100,10,1,9.869814433393383
1211,tianjin_man2,10,100,10,1,9.869823150336828
1064,langfang_man1,10,100,10,1,9.86982576855257
1620,baoding_man1,10,100,10,1,9.869840139166852
332,qhd_man1,10,100,10,1,9.869855261080252
225,hengshui_man2,10,100,10,1,9.869864422947796
1326,xingtai_man1,10,100,10,1,9.869873662166786
41,tianjin_man2,10,100,10,1,9.869885207698752
752,langfang_man1,10,100,10,1,9.869887776575789
518,langfang_man1,10,100,10,1,9.869893068630422
939,shijiangzhuang_man1,10,100,10,1,9.869899732775012
967,tangshan_man2,10,100,10,1,9.86990172985848
1539,tangshan_man1,10,100,10,1,9.869906174842031
454,cangzhou_man1,10,100,10,1,9.869915711589353
1691,beijing_man1,10,100,10,1,9.869919598501092
326,beijing_man1,10,100,10,1,9.86995884904026
1891,handan_man1,10,100,10,1,9.869967995313226
1397,handan_man1,10,100,10,1,9.870007143466003
622,langfang_man1,10,100,10,1,9.870014219521694
363,cangzhou_man1,10,100,10,1,9.870030186322435
1408,hengshui_man1,10,100,10,1,9.870040117507482
486,tangshan_man1,10,100,10,1,9.870052677936844
473,tangshan_man1,10,100,10,1,9.870057958859691
805,cangzhou_man1,10,100,10,1,9.87005950887907
700,langfang_man1,10,100,10,1,9.870072942000016
307,baoding_man1,10,100,10,1,9.870096300920386
1222,xingtai_man1,10,100,10,1,9.870109886678813
1239,hengshui_man2,10,100,10,1,9.870111211123293
666,shijiangzhuang_man1,10,100,10,1,9.870112958357842
1253,tangshan_man1,10,100,10,1,9.870126061953762
80,tianjin_man2,10,100,10,1,9.870127550404378
1511,shijiangzhuang_man1,10,100,10,1,9.870141210887642
837,tangshan_man2,10,100,10,1,9.870142711038781
158,tianjin_man2,10,100,10,1,9.870164518886906
386,zhangjiako_man2,10,100,10,1,9.87016560755443
1206,chengde_man1,10,100,10,1,9.870188396299655
22,zhangjiako_man2,10,100,10,1,9.870198675045037
937,beijing_man2,10,100,10,1,9.870218916353178
785,tangshan_man2,10,100,10,1,9.870225911316416
773,handan_man1,10,100,10,1,9.870225930900279
1928,hengshui_man1,10,100,10,1,9.870231946488312
1219,chengde_man1,10,100,10,1,9.870238483618559
382,tangshan_man1,10,100,10,1,9.870239608932495
236,tianjin_man2,10,100,10,1,9.870242459927875
664,beijing_man2,10,100,10,1,9.870276869513399
542,zhangjiako_man2,10,100,10,1,9.870280735861336
1611,cangzhou_man1,10,100,10,1,9.87028916562027
1956,handan_man1,10,100,10,1,9.870294345086508
603,tangshan_man2,10,100,10,1,9.870301698277583
449,qhd_man2,10,100,10,1,9.870304409418772
1876,hengshui_man2,10,100,10,1,9.87031415850493
768,beijing_man2,10,100,10,1,9.870326835882203
534,beijing_man1,10,100,10,1,9.87035728032613
1082,shijiangzhuang_man1,10,100,10,1,9.870362223609881
765,langfang_man1,10,100,10,1,9.870380446585703
1774,handan_man1,10,100,10,1,9.870383305383385
900,shijiangzhuang_man1,10,100,10,1,9.87038802395183
1749,qhd_man1,10,100,10,1,9.87039068935637
1980,hengshui_man2,10,100,10,1,9.87040457941297
1379,beijing_man1,10,100,10,1,9.870432752272569
56,hengshui_man2,10,100,10,1,9.870439607169558
1021,qhd_man1,10,100,10,1,9.870444191734311
636,cangzhou_man1,10,100,10,1,9.87044885815211
1502,qhd_man1,10,100,10,1,9.870455317505156
73,baoding_man1,10,100,10,1,9.870464680670612
857,cangzhou_man1,10,100,10,1,9.870483696138916
1762,qhd_man2,10,100,10,1,9.87048793436702
1666,tianjin_man2,10,100,10,1,9.870506650945893
103,cangzhou_man1,10,100,10,1,9.870545412669214
1036,zhangjiako_man1,10,100,10,1,9.87055825476699
1755,xingtai_man1,10,100,10,1,9.87056401633128
1957,qhd_man2,10,100,10,1,9.870609290501553
442,xingtai_man1,10,100,10,1,9.870609327720526
1553,handan_man1,10,100,10,1,9.870662591292978
719,hengshui_man1,10,100,10,1,9.870692901498861
1070,hengshui_man1,10,100,10,1,9.870707488797082
1269,cangzhou_man2,10,100,10,1,9.870712951093267
1031,hengshui_man2,10,100,10,1,9.870714788465934
1451,baoding_man2,10,100,10,1,9.870723816685958
1311,langfang_man1,10,100,10,1,9.870731467248488
1229,qhd_man2,10,100,10,1,9.8707346401878
438,zhangjiako_man1,10,100,10,1,9.870744095222674
747,handan_man1,10,100,10,1,9.870751564914281
1065,cangzhou_man1,10,100,10,1,9.870758237975494
1789,baoding_man1,10,100,10,1,9.870775176823964
996,baoding_man1,10,100,10,1,9.870777084357195
1711,baoding_man1,10,100,10,1,9.870805183054337
407,hengshui_man1,10,100,10,1,9.870811534384089
1633,baoding_man2,10,100,10,1,9.87082070060378
1092,xingtai_man1,10,100,10,1,9.87082658454287
83,tangshan_man2,10,100,10,1,9.87083304626832
771,hengshui_man1,10,100,10,1,9.870837839064581
836,hengshui_man2,10,100,10,1,9.87084151993781
1848,tianjin_man2,10,100,10,1,9.870847731826085
886,tianjin_man2,10,100,10,1,9.870855825151027
656,handan_man1,10,100,10,1,9.870879222480795
1496,beijing_man2,10,100,10,1,9.870884394489448
1045,tangshan_man2,10,100,10,1,9.870885082949023
66,beijing_man2,10,100,10,1,9.870885628237659
891,qhd_man2,10,100,10,1,9.870887090462695
764,chengde_man1,10,100,10,1,9.870923922323072
468,xingtai_man1,10,100,10,1,9.870934459159095
1487,tangshan_man2,10,100,10,1,9.870937979269243
543,chengde_man1,10,100,10,1,9.87095310783946
273,xingtai_man1,10,100,10,1,9.870956142875473
116,cangzhou_man1,10,100,10,1,9.870963765778763
33,qhd_man2,10,100,10,1,9.87096492087034
995,qhd_man2,10,100,10,1,9.870975373793726
1494,cangzhou_man1,10,100,10,1,9.870978205565388
1449,handan_man1,10,100,10,1,9.87098073332145
1605,handan_man1,10,100,10,1,9.870983960487745
591,handan_man1,10,100,10,1,9.870984067469612
1178,baoding_man2,10,100,10,1,9.87098873113212
387,chengde_man1,10,100,10,1,9.870991015530656
1940,shijiangzhuang_man1,10,100,10,1,9.870999975557808
1104,cangzhou_man1,10,100,10,1,9.871001630968271
1119,beijing_man2,10,100,10,1,9.871004864491699
1795,beijing_man2,10,100,10,1,9.871031826975758
356,tangshan_man2,10,100,10,1,9.871044741932117
54,tianjin_man2,10,100,10,1,9.871057221448085
459,hengshui_man1,10,100,10,1,9.871072094806017
740,cangzhou_man1,10,100,10,1,9.871076391907811
694,tangshan_man2,10,100,10,1,9.87108709319917
378,beijing_man2,10,100,10,1,9.871092673239081
1098,handan_man1,10,100,10,1,9.871094608995788
1096,hengshui_man2,10,100,10,1,9.871098642582085
1459,shijiangzhuang_man1,10,100,10,1,9.871102716544055
733,tangshan_man1,10,100,10,1,9.871105752660661
517,chengde_man1,10,100,10,1,9.871115664966558
814,baoding_man1,10,100,10,1,9.87111590823879
1255,qhd_man1,10,100,10,1,9.871122280419101
676,xingtai_man1,10,100,10,1,9.871137002498205
1889,hengshui_man2,10,100,10,1,9.87114493392727
1463,qhd_man2,10,100,10,1,9.871146233730554
782,tianjin_man2,10,100,10,1,9.871152048513615
861,shijiangzhuang_man1,10,100,10,1,9.871167368116966
1002,beijing_man2,10,100,10,1,9.871179847555027
248,beijing_man1,10,100,10,1,9.871181484533837
295,zhangjiako_man1,10,100,10,1,9.871196605130994
443,beijing_man2,10,100,10,1,9.871225526911068
133,shijiangzhuang_man1,10,100,10,1,9.871230353340787
671,cangzhou_man2,10,100,10,1,9.871236695147509
684,baoding_man1,10,100,10,1,9.871247860241274
277,hengshui_man1,10,100,10,1,9.871252623366518
1209,xingtai_man1,10,100,10,1,9.871255193244686
575,shijiangzhuang_man1,10,100,10,1,9.87126471405314
1327,beijing_man1,10,100,10,1,9.871281390781753
256,zhangjiako_man1,10,100,10,1,9.871307309698821
1660,zhangjiako_man1,10,100,10,1,9.87133269497896
493,cangzhou_man1,10,100,10,1,9.871341246822345
271,langfang_man1,10,100,10,1,9.871372247755463
758,hengshui_man1,10,100,10,1,9.871372302828107
1759,hengshui_man1,10,100,10,1,9.87140470961833
721,handan_man1,10,100,10,1,9.871408333618811
621,chengde_man1,10,100,10,1,9.87141612057639
1650,cangzhou_man1,10,100,10,1,9.871442163592743
1328,tianjin_man2,10,100,10,1,9.871443467314252
1191,baoding_man1,10,100,10,1,9.871444883970632
348,chengde_man1,10,100,10,1,9.871450366961888
549,shijiangzhuang_man1,10,100,10,1,9.871452208396716
572,xingtai_man1,10,100,10,1,9.871478362728451
1965,tianjin_man2,10,100,10,1,9.871480329408449
175,handan_man1,10,100,10,1,9.871493493185566
625,beijing_man1,10,100,10,1,9.871503174858542
699,chengde_man1,10,100,10,1,9.871508033515779
1934,chengde_man1,10,100,10,1,9.871546213156316
1233,langfang_man1,10,100,10,1,9.871577247745341
1484,tianjin_man2,10,100,10,1,9.871594322682615
1739,chengde_man1,10,100,10,1,9.871600108975832
726,langfang_man1,10,100,10,1,9.871618298571018
1210,beijing_man1,10,100,10,1,9.871618629151149
1018,hengshui_man1,10,100,10,1,9.871619062986916
1558,langfang_man1,10,100,10,1,9.871621409124085
151,baoding_man1,10,100,10,1,9.871623053360837
228,qhd_man1,10,100,10,1,9.871623634917166
1230,baoding_man1,10,100,10,1,9.871632788889851
1462,handan_man1,10,100,10,1,9.871641708685084
954,tangshan_man1,10,100,10,1,9.871642467542797
1176,handan_man1,10,100,10,1,9.871645759438733
1362,chengde_man1,10,100,10,1,9.871665087133007
240,handan_man1,10,100,10,1,9.871675358070851
1218,zhangjiako_man1,10,100,10,1,9.871675975795426
400,chengde_man1,10,100,10,1,9.871679206979769
180,langfang_man1,10,100,10,1,9.871704653288512
691,tianjin_man2,10,100,10,1,9.871704714470912
1340,beijing_man1,10,100,10,1,9.871720287600155
779,cangzhou_man1,10,100,10,1,9.871723810690188
294,baoding_man2,10,100,10,1,9.871734817002695
1266,tangshan_man1,10,100,10,1,9.87173591109788
1419,tianjin_man2,10,100,10,1,9.871757650670181
652,tianjin_man2,10,100,10,1,9.871768110200875
1849,shijiangzhuang_man1,10,100,10,1,9.871793714741397
1567,qhd_man1,10,100,10,1,9.871810010057994
616,tangshan_man2,10,100,10,1,9.871814249731878
701,cangzhou_man1,10,100,10,1,9.871841873986893
1124,handan_man2,10,100,10,1,9.871867127948034
1488,handan_man1,10,100,10,1,9.87187248495215
934,langfang_man1,10,100,10,1,9.871879966299026
1048,baoding_man1,10,100,10,1,9.871897395093923
1512,hengshui_man2,10,100,10,1,9.871903202467024
1950,xingtai_man1,10,100,10,1,9.871905290625712
1162,tangshan_man2,10,100,10,1,9.8719127138751
495,beijing_man2,10,100,10,1,9.871919163091349
360,zhangjiako_man1,10,100,10,1,9.871927956154332
1363,langfang_man1,10,100,10,1,9.871930781260376
600,tianjin_man2,10,100,10,1,9.871935570436086
589,hengshui_man1,10,100,10,1,9.871962066893682
1769,beijing_man2,10,100,10,1,9.871972976512595
1560,xingtai_man1,10,100,10,1,9.872002089963127
369,tangshan_man1,10,100,10,1,9.872002307282758
141,langfang_man1,10,100,10,1,9.872022560486243
969,qhd_man1,10,100,10,1,9.872070598655561
19,handan_man1,10,100,10,1,9.872085543427238
408,tangshan_man2,10,100,10,1,9.872088397507817
317,tangshan_man2,10,100,10,1,9.872092204939902
560,beijing_man1,10,100,10,1,9.872095575201783
1244,zhangjiako_man2,10,100,10,1,9.872104163943094
458,shijiangzhuang_man1,10,100,10,1,9.87211939260214
680,hengshui_man2,10,100,10,1,9.872121199471751
94,shijiangzhuang_man1,10,100,10,1,9.872143871199825
1427,chengde_man2,10,100,10,1,9.872147264900107
715,xingtai_man1,10,100,10,1,9.872158716859653
500,handan_man1,10,100,10,1,9.87216150972313
750,zhangjiako_man1,10,100,10,1,9.87218770903274
772,tangshan_man2,10,100,10,1,9.872199045769948
635,langfang_man1,10,100,10,1,9.872199300502338
112,baoding_man2,10,100,10,1,9.872214066528294
863,tangshan_man1,10,100,10,1,9.872228292465651
881,chengde_man1,10,100,10,1,9.87223243550248
1657,handan_man1,10,100,10,1,9.872241267500172
1859,xingtai_man1,10,100,10,1,9.872251580800821
1304,hengshui_man2,10,100,10,1,9.872251746547837
551,tangshan_man2,10,100,10,1,9.87225353519446
102,langfang_man1,10,100,10,1,9.872270265129913
1590,hengshui_man1,10,100,10,1,9.872283660473785
1935,langfang_man1,10,100,10,1,9.872283822202855
32,handan_man2,10,100,10,1,9.872284966685045
189,qhd_man2,10,100,10,1,9.872294900486432
435,handan_man1,10,100,10,1,9.872297218409306
1921,chengde_man1,10,100,10,1,9.872308732135034
777,chengde_man1,10,100,10,1,9.872326207125052
1029,tianjin_man2,10,100,10,1,9.872329237794919
1213,hengshui_man1,10,100,10,1,9.872338082130105
1076,chengde_man1,10,100,10,1,9.872345084443044
1060,qhd_man1,10,100,10,1,9.87235020751654
252,tangshan_man1,10,100,10,1,9.872352680523706
86,cangzhou_man2,10,100,10,1,9.872353173128499
242,cangzhou_man2,10,100,10,1,9.872354882624327
1288,beijing_man1,10,100,10,1,9.872368614470215
655,tangshan_man2,10,100,10,1,9.872372886007216
284,langfang_man1,10,100,10,1,9.872386002755183
1546,cangzhou_man1,10,100,10,1,9.87239959769239
783,shijiangzhuang_man1,10,100,10,1,9.872409164746607
1416,cangzhou_man1,10,100,10,1,9.872418755917762
1077,langfang_man1,10,100,10,1,9.87243780667188
99,baoding_man1,10,100,10,1,9.872438672756502
503,zhangjiako_man1,10,100,10,1,9.872444429266
1623,langfang_man1,10,100,10,1,9.872449728786695
215,qhd_man2,10,100,10,1,9.872486696751054
131,beijing_man2,10,100,10,1,9.872489406789118
890,handan_man1,10,100,10,1,9.872496419900411
1293,handan_man1,10,100,10,1,9.872523412682025
1969,handan_man1,10,100,10,1,9.872533094380135
1931,qhd_man2,10,100,10,1,9.872546648636625
27,beijing_man1,10,100,10,1,9.87256427173664
849,hengshui_man2,10,100,10,1,9.87256642644189
352,beijing_man2,10,100,10,1,9.872578940523937
218,chengde_man1,10,100,10,1,9.872580514832668
187,tangshan_man2,10,100,10,1,9.872590718672663
1063,chengde_man1,10,100,10,1,9.872608353063692
1818,langfang_man1,10,100,10,1,9.87262661258055
1550,shijiangzhuang_man1,10,100,10,1,9.87262748885185
455,xingtai_man1,10,100,10,1,9.872630446462562
1648,chengde_man2,10,100,10,1,9.872642538467
477,zhangjiako_man1,10,100,10,1,9.872642556099699
882,langfang_man1,10,100,10,1,9.872655433590717
432,shijiangzhuang_man1,10,100,10,1,9.872658692501744
190,baoding_man1,10,100,10,1,9.87266733046116
1612,xingtai_man1,10,100,10,1,9.872669813784722
1432,tianjin_man2,10,100,10,1,9.872672552463062
1890,tangshan_man2,10,100,10,1,9.87269520205928
1596,chengde_man1,10,100,10,1,9.872697616890212
1447,hengshui_man1,10,100,10,1,9.872697999350468
690,beijing_man2,10,100,10,1,9.872699119297751
1360,baoding_man2,10,100,10,1,9.872705004595542
1937,xingtai_man1,10,100,10,1,9.872714262998347
1649,langfang_man1,10,100,10,1,9.872719226492524
1254,handan_man1,10,100,10,1,9.872726285160965
1797,shijiangzhuang_man1,10,100,10,1,9.872750665676566
403,xingtai_man1,10,100,10,1,9.872755234133873
675,cangzhou_man1,10,100,10,1,9.872757931549659
1885,xingtai_man1,10,100,10,1,9.872757995965584
952,shijiangzhuang_man1,10,100,10,1,9.872760092284507
123,handan_man1,10,100,10,1,9.87278267842342
385,baoding_man1,10,100,10,1,9.872783698691514
1959,zhangjiako_man1,10,100,10,1,9.87278867715911
504,chengde_man1,10,100,10,1,9.872802241070277
1478,zhangjiako_man1,10,100,10,1,9.8728299835975
1665,beijing_man2,10,100,10,1,9.872844981993563
